issue_key,issue_type,epic,summary,status,priority,assignee,reporter,created,updated,sprint,due_date,story_points,service,component,phase,labels,linked_prs,linked_incidents,risk_or_blocker_notes,acceptance_criteria,business_impact
ATLAS-2657,Story,ATLAS-2621,Migrate checkout-api dependency from legacy checkout,Done,Critical,Jon Bell,Luca Moretti,2020-12-19,2021-01-30,Sprint 067,2021-02-02,13,checkout-api,backend,Phase 2 Cloud Migration,"2,backend,checkout-api,jira,release",PR-6657,,Customer impact: support needs clear status if queue lag breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to PR-6657.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-2658,Story,ATLAS-2621,Harden idempotency and retry behavior for payment-orchestrator,Done,High,Priya Nair,Theo Martin,2020-12-16,2021-02-08,Sprint 067,2020-12-23,13,payment-orchestrator,payments,Phase 2 Cloud Migration,"2,handoff,jira,payment-orchestrator,payments",PR-6658,,Customer impact: support needs clear status if tax quote consistency breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for payment-orchestrator; evidence links to PR-6658.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-2659,Spike,ATLAS-2621,Reduce p95 latency in order-ledger,Closed,High,Owen Brooks,Jon Bell,2020-12-21,2021-03-09,Sprint 067,2021-02-19,13,order-ledger,orders,Phase 2 Cloud Migration,"2,jira,order-ledger,orders,release",,,Risk: order-ledger can cause checkout drop if loyalty points accrual fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for order-ledger; evidence links to ATLAS-2659.",Improves checkout reliability and reduces manual support triage.
ATLAS-2660,Story,ATLAS-2621,Document runbook for notification-service,Done,Low,Jon Bell,Samir Rao,2020-12-17,2021-02-09,Sprint 067,2021-01-16,5,notification-service,messaging,Phase 2 Cloud Migration,"2,jira,messaging,notification-service,release",,,Blocker: waiting on messaging contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to ATLAS-2660.",Improves onboarding because new engineers can trace decision context.
ATLAS-2661,Story,ATLAS-2621,Document runbook for notification-service,Done,Critical,Noah Evans,Aisha Khan,2020-12-22,2021-03-02,Sprint 067,2020-12-29,5,notification-service,messaging,Phase 2 Cloud Migration,"2,handoff,jira,messaging,notification-service",PR-6661,,Customer impact: support needs clear status if idempotency breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to PR-6661.",Improves checkout reliability and reduces manual support triage.
ATLAS-2662,Story,ATLAS-2621,Harden idempotency and retry behavior for payment-orchestrator,Done,Low,Grace Kim,Mateo Garcia,2020-12-22,2021-01-18,Sprint 067,2021-02-20,5,payment-orchestrator,payments,Phase 2 Cloud Migration,"2,jira,metrics,payment-orchestrator,payments",,,Customer impact: support needs clear status if payment capture breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for payment-orchestrator; evidence links to ATLAS-2662.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2663,Story,ATLAS-2621,Fix queue lag regression in pricing-engine,Done,High,Aisha Khan,Sara Novak,2020-12-24,2021-03-02,Sprint 067,2021-01-07,3,pricing-engine,pricing,Phase 2 Cloud Migration,"2,jira,pricing,pricing-engine,release",PR-6663,,Decision: owner Aisha Khan to validate queue lag with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to PR-6663.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2664,Bug,ATLAS-2621,Create rollback plan for checkout-api,Closed,High,Maya Chen,Aisha Khan,2020-12-21,2021-03-09,Sprint 067,2021-02-19,1,checkout-api,backend,Phase 2 Cloud Migration,"2,backend,checkout-api,handoff,jira",,,Blocker: waiting on backend contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to ATLAS-2664.",Protects conversion during peak campaigns and regional launches.
ATLAS-2665,Story,ATLAS-2621,Harden idempotency and retry behavior for order-ledger,Closed,High,Victor Silva,Maya Chen,2020-12-22,2021-03-06,Sprint 067,2021-01-05,5,order-ledger,orders,Phase 2 Cloud Migration,"2,checkout,jira,order-ledger,orders",,,Customer impact: support needs clear status if coupon timeout fallback breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for order-ledger; evidence links to ATLAS-2665.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-2666,Story,ATLAS-2621,Harden idempotency and retry behavior for loyalty-service,Done,Critical,Fatima Noor,Priya Nair,2020-12-20,2021-01-06,Sprint 067,2020-12-27,8,loyalty-service,loyalty,Phase 2 Cloud Migration,"2,jira,loyalty,loyalty-service,risk",PR-6666,PD-2816,Customer impact: support needs clear status if mobile checkout session breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for loyalty-service; evidence links to PR-6666.",Improves checkout reliability and reduces manual support triage.
ATLAS-2667,Story,ATLAS-2621,Migrate tax-service dependency from legacy checkout,Done,Medium,Kim Tan,Anika Sharma,2020-12-25,2021-02-27,Sprint 067,2021-02-08,3,tax-service,tax,Phase 2 Cloud Migration,"2,checkout,jira,tax,tax-service",PR-6667,,Customer impact: support needs clear status if fraud rule evaluation breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-6667.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2668,Story,ATLAS-2621,Backfill data validation for auth-gateway,Done,Low,Iris Wang,Samir Rao,2020-12-26,2021-01-21,Sprint 067,2021-02-09,1,auth-gateway,platform,Phase 2 Cloud Migration,"2,auth-gateway,jira,metrics,platform",PR-6668,,"Action: add monitoring, rollback owner, and KT note for auth-gateway.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to PR-6668.",Improves checkout reliability and reduces manual support triage.
ATLAS-2669,Story,ATLAS-2621,Resolve customer escalation linked to notification-service,Done,Medium,Jon Bell,Fatima Noor,2020-12-24,2021-01-05,Sprint 067,2021-02-07,3,notification-service,messaging,Phase 2 Cloud Migration,"2,jira,messaging,notification-service,risk",PR-6669,,Decision: owner Jon Bell to validate queue lag with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to PR-6669.",Improves checkout reliability and reduces manual support triage.
ATLAS-2670,Story,ATLAS-2621,Add tracing and dashboard coverage for auth-gateway,Done,High,Nora Singh,Yara Haddad,2020-12-19,2021-02-01,Sprint 067,2021-02-17,13,auth-gateway,platform,Phase 2 Cloud Migration,"2,auth-gateway,jira,platform,release",PR-6670,PD-2820,"Action: add monitoring, rollback owner, and KT note for auth-gateway.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to PR-6670.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2671,Task,ATLAS-2621,Document runbook for cart-service,Done,Low,Ravi Patel,Noah Evans,2020-12-21,2021-01-06,Sprint 067,2021-01-20,13,cart-service,backend,Phase 2 Cloud Migration,"2,backend,cart-service,handoff,jira",PR-6671,,"Action: add monitoring, rollback owner, and KT note for cart-service.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for cart-service; evidence links to PR-6671.",Improves checkout reliability and reduces manual support triage.
ATLAS-2672,Story,ATLAS-2621,Add tracing and dashboard coverage for auth-gateway,Done,Low,Ravi Patel,Nora Singh,2020-12-20,2020-12-28,Sprint 067,2020-12-27,8,auth-gateway,platform,Phase 2 Cloud Migration,"2,auth-gateway,jira,platform,release",,,Decision: owner Ravi Patel to validate tax quote consistency with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to ATLAS-2672.",Improves checkout reliability and reduces manual support triage.
ATLAS-2673,Spike,ATLAS-2621,Implement pricing-engine contract for coupon timeout fallback,Closed,High,Grace Kim,Elena Petrova,2020-12-22,2021-01-02,Sprint 067,2021-01-12,13,pricing-engine,pricing,Phase 2 Cloud Migration,"2,jira,metrics,pricing,pricing-engine",,,Risk: pricing-engine can cause checkout drop if coupon timeout fallback fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to ATLAS-2673.",Protects conversion during peak campaigns and regional launches.
ATLAS-2674,Story,ATLAS-2621,Harden idempotency and retry behavior for tax-service,Done,High,Luca Moretti,Aisha Khan,2020-12-24,2021-01-14,Sprint 067,2021-01-23,2,tax-service,tax,Phase 2 Cloud Migration,"2,handoff,jira,tax,tax-service",PR-6674,,Blocker: waiting on tax contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-6674.",Improves checkout reliability and reduces manual support triage.
ATLAS-2675,Task,ATLAS-2621,Resolve customer escalation linked to pricing-engine,Done,Critical,Aisha Khan,Victor Silva,2020-12-31,2021-03-18,Sprint 068,2021-01-21,8,pricing-engine,pricing,Phase 2 Cloud Migration,"2,handoff,jira,pricing,pricing-engine",PR-6675,PD-2825,Risk: pricing-engine can cause checkout drop if payment capture fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to PR-6675.",Improves onboarding because new engineers can trace decision context.
ATLAS-2676,Spike,ATLAS-2621,Document runbook for loyalty-service,Done,High,Anika Sharma,Harper Lee,2020-12-25,2021-02-25,Sprint 067,2021-01-01,13,loyalty-service,loyalty,Phase 2 Cloud Migration,"2,jira,loyalty,loyalty-service,release",PR-6676,,Blocker: waiting on loyalty contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for loyalty-service; evidence links to PR-6676.",Improves onboarding because new engineers can trace decision context.
ATLAS-2677,Risk,ATLAS-2621,Resolve customer escalation linked to notification-service,Closed,Medium,Kim Tan,Priya Nair,2021-01-01,2021-01-27,Sprint 068,2021-01-08,13,notification-service,messaging,Phase 3 Global Checkout,"3,checkout,jira,messaging,notification-service",PR-6677,,Blocker: waiting on messaging contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to PR-6677.",Protects conversion during peak campaigns and regional launches.
ATLAS-2678,Task,ATLAS-2621,Migrate payment-orchestrator dependency from legacy checkout,Done,High,Dmitri Volkov,Jon Bell,2021-01-01,2021-03-15,Sprint 068,2021-01-08,13,payment-orchestrator,payments,Phase 3 Global Checkout,"3,jira,payment-orchestrator,payments,risk",PR-6678,PD-2828,Decision: owner Dmitri Volkov to validate payment capture with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for payment-orchestrator; evidence links to PR-6678.",Protects conversion during peak campaigns and regional launches.
ATLAS-2679,Story,ATLAS-2621,Fix tax quote consistency regression in inventory-reservation,Closed,High,Fatima Noor,Grace Kim,2020-12-29,2021-02-03,Sprint 068,2021-01-12,8,inventory-reservation,inventory,Phase 2 Cloud Migration,"2,handoff,inventory,inventory-reservation,jira",PR-6679,,Decision: owner Fatima Noor to validate tax quote consistency with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for inventory-reservation; evidence links to PR-6679.",Improves checkout reliability and reduces manual support triage.
ATLAS-2680,Task,ATLAS-2621,Document runbook for checkout-api,Done,Low,Ben Carter,Grace Kim,2020-12-27,2021-02-05,Sprint 067,2021-01-10,1,checkout-api,backend,Phase 2 Cloud Migration,"2,backend,checkout-api,jira,risk",PR-6680,,Blocker: waiting on backend contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to PR-6680.",Improves checkout reliability and reduces manual support triage.
ATLAS-2681,Epic,ATLAS-2681,"Phase 3 Global Checkout: add localization, tax rules, currency, and fraud checks",Done,High,Priya Nair,Ravi Patel,2021-01-03,2021-03-10,Sprint 068,2021-02-02,3,inventory-reservation,inventory,Phase 3 Global Checkout,"3,handoff,inventory,inventory-reservation,jira",,,"Action: add monitoring, rollback owner, and KT note for inventory-reservation.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for inventory-reservation; evidence links to ATLAS-2681.",Protects conversion during peak campaigns and regional launches.
ATLAS-2682,Story,ATLAS-2681,Add tracing and dashboard coverage for analytics-pipeline,Done,High,Grace Kim,Jon Bell,2020-12-30,2021-01-22,Sprint 068,2021-01-13,13,analytics-pipeline,data,Phase 2 Cloud Migration,"2,analytics-pipeline,data,jira,risk",PR-6682,,Risk: analytics-pipeline can cause checkout drop if fraud rule evaluation fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for analytics-pipeline; evidence links to PR-6682.",Protects conversion during peak campaigns and regional launches.
ATLAS-2683,Story,ATLAS-2681,Migrate tax-service dependency from legacy checkout,Closed,Medium,Harper Lee,Owen Brooks,2021-01-01,2021-01-04,Sprint 068,2021-01-08,2,tax-service,tax,Phase 3 Global Checkout,"3,checkout,jira,tax,tax-service",PR-6683,,Risk: tax-service can cause checkout drop if fraud rule evaluation fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-6683.",Improves checkout reliability and reduces manual support triage.
ATLAS-2684,Task,ATLAS-2681,Reduce p95 latency in tax-service,Done,Critical,Priya Nair,Noah Evans,2021-01-05,2021-01-19,Sprint 068,2021-01-26,13,tax-service,tax,Phase 3 Global Checkout,"3,jira,release,tax,tax-service",PR-6684,,Blocker: waiting on tax contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-6684.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-2685,Bug,ATLAS-2681,Resolve customer escalation linked to pricing-engine,Done,Medium,Iris Wang,Grace Kim,2021-01-04,2021-01-17,Sprint 068,2021-01-18,13,pricing-engine,pricing,Phase 3 Global Checkout,"3,handoff,jira,pricing,pricing-engine",,,Customer impact: support needs clear status if fraud rule evaluation breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to ATLAS-2685.",Improves checkout reliability and reduces manual support triage.
ATLAS-2686,Bug,ATLAS-2681,Harden idempotency and retry behavior for search-recommendations,Done,High,Dmitri Volkov,Yara Haddad,2020-12-30,2021-01-31,Sprint 068,2021-02-13,2,search-recommendations,search,Phase 2 Cloud Migration,"2,jira,metrics,search,search-recommendations",PR-6686,,Blocker: waiting on search contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for search-recommendations; evidence links to PR-6686.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2687,Bug,ATLAS-2681,Document runbook for auth-gateway,Done,High,Fatima Noor,Mateo Garcia,2021-01-04,2021-01-29,Sprint 068,2021-01-11,2,auth-gateway,platform,Phase 3 Global Checkout,"3,auth-gateway,jira,platform,risk",,,Customer impact: support needs clear status if inventory reservation breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to ATLAS-2687.",Improves onboarding because new engineers can trace decision context.
ATLAS-2688,Bug,ATLAS-2681,Implement pricing-engine contract for tax quote consistency,Closed,Medium,Samir Rao,Victor Silva,2020-12-30,2021-02-24,Sprint 068,2021-01-13,8,pricing-engine,pricing,Phase 2 Cloud Migration,"2,handoff,jira,pricing,pricing-engine",,,Decision: owner Samir Rao to validate tax quote consistency with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to ATLAS-2688.",Protects conversion during peak campaigns and regional launches.
ATLAS-2689,Story,ATLAS-2681,Fix feature flag rollout regression in auth-gateway,Done,Medium,Yara Haddad,Harper Lee,2021-01-08,2021-02-11,Sprint 068,2021-01-29,2,auth-gateway,platform,Phase 3 Global Checkout,"3,auth-gateway,handoff,jira,platform",,PD-2839,Customer impact: support needs clear status if feature flag rollout breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to ATLAS-2689.",Improves onboarding because new engineers can trace decision context.
ATLAS-2690,Story,ATLAS-2681,Harden idempotency and retry behavior for tax-service,Done,High,Luca Moretti,Ravi Patel,2021-01-01,2021-02-22,Sprint 068,2021-01-31,13,tax-service,tax,Phase 3 Global Checkout,"3,jira,risk,tax,tax-service",PR-6690,,Decision: owner Luca Moretti to validate queue lag with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for tax-service; evidence links to PR-6690.",Improves checkout reliability and reduces manual support triage.
ATLAS-2691,Story,ATLAS-2681,Add tracing and dashboard coverage for search-recommendations,Done,Critical,Iris Wang,Owen Brooks,2021-01-04,2021-03-09,Sprint 068,2021-01-11,3,search-recommendations,search,Phase 3 Global Checkout,"3,jira,kt,search,search-recommendations",PR-6691,,Risk: search-recommendations can cause checkout drop if coupon timeout fallback fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for search-recommendations; evidence links to PR-6691.",Protects conversion during peak campaigns and regional launches.
ATLAS-2692,Task,ATLAS-2681,Create rollback plan for pricing-engine,Done,Medium,Samir Rao,Iris Wang,2021-01-09,2021-01-20,Sprint 068,2021-02-23,2,pricing-engine,pricing,Phase 3 Global Checkout,"3,checkout,jira,pricing,pricing-engine",,,Blocker: waiting on pricing contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to ATLAS-2692.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-2693,Bug,ATLAS-2681,Fix inventory reservation regression in pricing-engine,Done,High,Victor Silva,Harper Lee,2021-01-05,2021-02-27,Sprint 068,2021-01-19,1,pricing-engine,pricing,Phase 3 Global Checkout,"3,jira,metrics,pricing,pricing-engine",,,Decision: owner Victor Silva to validate inventory reservation with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to ATLAS-2693.",Improves onboarding because new engineers can trace decision context.
ATLAS-2694,Story,ATLAS-2681,Create rollback plan for auth-gateway,Done,High,Jon Bell,Noah Evans,2021-01-03,2021-01-27,Sprint 068,2021-01-24,1,auth-gateway,platform,Phase 3 Global Checkout,"3,auth-gateway,jira,platform,risk",PR-6694,PD-2844,Customer impact: support needs clear status if loyalty points accrual breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to PR-6694.",Protects conversion during peak campaigns and regional launches.
ATLAS-2695,Risk,ATLAS-2681,Backfill data validation for pricing-engine,Done,Critical,Iris Wang,Elena Petrova,2021-01-10,2021-01-30,Sprint 068,2021-01-24,3,pricing-engine,pricing,Phase 3 Global Checkout,"3,checkout,jira,pricing,pricing-engine",,,Risk: pricing-engine can cause checkout drop if database index bloat fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to ATLAS-2695.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-2696,Task,ATLAS-2681,Harden idempotency and retry behavior for notification-service,Done,Critical,Jon Bell,Elena Petrova,2021-01-02,2021-02-22,Sprint 068,2021-03-03,8,notification-service,messaging,Phase 3 Global Checkout,"3,jira,messaging,notification-service,release",PR-6696,,Blocker: waiting on messaging contract tests and release sign-off.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for notification-service; evidence links to PR-6696.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2697,Task,ATLAS-2681,Fix database index bloat regression in checkout-api,Done,Medium,Jon Bell,Sara Novak,2021-01-09,2021-03-28,Sprint 068,2021-01-23,3,checkout-api,backend,Phase 3 Global Checkout,"3,backend,checkout,checkout-api,jira",,,Decision: owner Jon Bell to validate database index bloat with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to ATLAS-2697.",Improves onboarding because new engineers can trace decision context.
ATLAS-2698,Bug,ATLAS-2681,Implement search-recommendations contract for coupon timeout fallback,Done,High,Sara Novak,Luca Moretti,2021-01-07,2021-01-10,Sprint 068,2021-01-14,3,search-recommendations,search,Phase 3 Global Checkout,"3,jira,risk,search,search-recommendations",PR-6698,,Decision: owner Sara Novak to validate coupon timeout fallback with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for search-recommendations; evidence links to PR-6698.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2699,Story,ATLAS-2681,Backfill data validation for inventory-reservation,Done,Medium,Elena Petrova,Kim Tan,2021-01-04,2021-01-15,Sprint 068,2021-01-25,3,inventory-reservation,inventory,Phase 3 Global Checkout,"3,checkout,inventory,inventory-reservation,jira",,,Decision: owner Elena Petrova to validate inventory reservation with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for inventory-reservation; evidence links to ATLAS-2699.",Protects conversion during peak campaigns and regional launches.
ATLAS-2700,Story,ATLAS-2681,Resolve customer escalation linked to search-recommendations,Done,High,Maya Chen,Grace Kim,2021-01-11,2021-02-04,Sprint 069,2021-02-01,5,search-recommendations,search,Phase 3 Global Checkout,"3,jira,release,search,search-recommendations",,,Risk: search-recommendations can cause checkout drop if database index bloat fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for search-recommendations; evidence links to ATLAS-2700.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-2701,Task,ATLAS-2681,Resolve customer escalation linked to payment-orchestrator,Done,Medium,Priya Nair,Luca Moretti,2021-01-07,2021-01-14,Sprint 068,2021-02-06,13,payment-orchestrator,payments,Phase 3 Global Checkout,"3,jira,payment-orchestrator,payments,release",PR-6701,,Decision: owner Priya Nair to validate tax quote consistency with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for payment-orchestrator; evidence links to PR-6701.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2702,Story,ATLAS-2681,Add tracing and dashboard coverage for inventory-reservation,Done,Medium,Grace Kim,Aisha Khan,2021-01-13,2021-03-19,Sprint 069,2021-03-14,13,inventory-reservation,inventory,Phase 3 Global Checkout,"3,checkout,inventory,inventory-reservation,jira",PR-6702,PD-2002,Risk: inventory-reservation can cause checkout drop if tax quote consistency fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for inventory-reservation; evidence links to PR-6702.",Improves checkout reliability and reduces manual support triage.
ATLAS-2703,Bug,ATLAS-2681,Add tracing and dashboard coverage for pricing-engine,Closed,High,Kim Tan,Luca Moretti,2021-01-13,2021-01-27,Sprint 069,2021-02-27,5,pricing-engine,pricing,Phase 3 Global Checkout,"3,jira,kt,pricing,pricing-engine",,PD-2003,Customer impact: support needs clear status if loyalty points accrual breaks checkout flow.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for pricing-engine; evidence links to ATLAS-2703.",Improves checkout reliability and reduces manual support triage.
ATLAS-2704,Task,ATLAS-2681,Migrate cart-service dependency from legacy checkout,Done,Medium,Fatima Noor,Dmitri Volkov,2021-01-13,2021-03-30,Sprint 069,2021-01-20,3,cart-service,backend,Phase 3 Global Checkout,"3,backend,cart-service,jira,risk",,,Risk: cart-service can cause checkout drop if inventory reservation fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for cart-service; evidence links to ATLAS-2704.",Improves onboarding because new engineers can trace decision context.
ATLAS-2705,Spike,ATLAS-2681,Resolve customer escalation linked to inventory-reservation,Done,High,Harper Lee,Fatima Noor,2021-01-13,2021-02-17,Sprint 069,2021-01-20,3,inventory-reservation,inventory,Phase 3 Global Checkout,"3,inventory,inventory-reservation,jira,metrics",,,Decision: owner Harper Lee to validate loyalty points accrual with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for inventory-reservation; evidence links to ATLAS-2705.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-2706,Task,ATLAS-2681,Create rollback plan for payment-orchestrator,Done,Medium,Jon Bell,Mateo Garcia,2021-01-13,2021-03-19,Sprint 069,2021-02-27,5,payment-orchestrator,payments,Phase 3 Global Checkout,"3,jira,payment-orchestrator,payments,release",PR-6706,,Risk: payment-orchestrator can cause checkout drop if tax quote consistency fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for payment-orchestrator; evidence links to PR-6706.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2707,Risk,ATLAS-2681,Reduce p95 latency in inventory-reservation,Done,Medium,Samir Rao,Owen Brooks,2021-01-11,2021-02-18,Sprint 069,2021-01-18,3,inventory-reservation,inventory,Phase 3 Global Checkout,"3,handoff,inventory,inventory-reservation,jira",,,Decision: owner Samir Rao to validate database index bloat with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for inventory-reservation; evidence links to ATLAS-2707.",Protects conversion during peak campaigns and regional launches.
ATLAS-2708,Risk,ATLAS-2681,Migrate loyalty-service dependency from legacy checkout,Done,Low,Ben Carter,Iris Wang,2021-01-11,2021-01-19,Sprint 069,2021-01-25,2,loyalty-service,loyalty,Phase 3 Global Checkout,"3,checkout,jira,loyalty,loyalty-service",,,"Action: add monitoring, rollback owner, and KT note for loyalty-service.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for loyalty-service; evidence links to ATLAS-2708.",Improves checkout reliability and reduces manual support triage.
ATLAS-2709,Story,ATLAS-2681,Add tracing and dashboard coverage for loyalty-service,Done,High,Aisha Khan,Owen Brooks,2021-01-10,2021-02-25,Sprint 068,2021-03-11,8,loyalty-service,loyalty,Phase 3 Global Checkout,"3,checkout,jira,loyalty,loyalty-service",,,"Action: add monitoring, rollback owner, and KT note for loyalty-service.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for loyalty-service; evidence links to ATLAS-2709.",Protects conversion during peak campaigns and regional launches.
ATLAS-2710,Story,ATLAS-2681,Backfill data validation for checkout-api,Done,High,Owen Brooks,Luca Moretti,2021-01-11,2021-03-06,Sprint 069,2021-01-18,2,checkout-api,backend,Phase 3 Global Checkout,"3,backend,checkout,checkout-api,jira",PR-6710,,Risk: checkout-api can cause checkout drop if idempotency fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to PR-6710.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2711,Story,ATLAS-2681,Reduce p95 latency in loyalty-service,Done,High,Ben Carter,Theo Martin,2021-01-14,2021-02-12,Sprint 069,2021-03-15,5,loyalty-service,loyalty,Phase 3 Global Checkout,"3,jira,kt,loyalty,loyalty-service",PR-6711,,Decision: owner Ben Carter to validate feature flag rollout with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for loyalty-service; evidence links to PR-6711.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-2712,Spike,ATLAS-2681,Migrate checkout-api dependency from legacy checkout,Done,Medium,Samir Rao,Priya Nair,2021-01-13,2021-03-23,Sprint 069,2021-02-12,2,checkout-api,backend,Phase 3 Global Checkout,"3,backend,checkout-api,jira,release",PR-6712,,Risk: checkout-api can cause checkout drop if mobile checkout session fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for checkout-api; evidence links to PR-6712.",Closes audit gap for migration readiness and operational handoff.
ATLAS-2713,Task,ATLAS-2681,Reduce p95 latency in cart-service,Done,Medium,Owen Brooks,Elena Petrova,2021-01-15,2021-03-28,Sprint 069,2021-02-05,13,cart-service,backend,Phase 3 Global Checkout,"3,backend,cart-service,jira,risk",,,Risk: cart-service can cause checkout drop if idempotency fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for cart-service; evidence links to ATLAS-2713.",Improves onboarding because new engineers can trace decision context.
