deployment_id,deployed_at,service,environment,repo,linked_pr,release_id,feature_flag,traffic_percent,status,release_captain,guardrail,linked_jira,notes
DEP-00507,2020-02-05,loyalty-service,stage,atlas-data,PR-7848,REL-2020.4.10,flag_loyalty_service_new_write_path,10,rolled back,Harper Lee,manual approval,ATLAS-1562,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00508,2020-02-06,loyalty-service,prod,atlas-mobile,PR-11359,REL-2019.2.0,flag_loyalty_service_payment_retry,25,rolled back,Nora Singh,support volume guard,ATLAS-6193,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00509,2020-02-06,inventory-reservation,stage,atlas-payments,PR-5808,REL-2020.06,flag_inventory_reservation_rollback_guard,5,monitoring,Jon Bell,latency guard,ATLAS-2828,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00510,2020-02-09,auth-gateway,prod,atlas-payments,PR-11696,REL-2023.11,flag_auth_gateway_mobile_session,5,paused,Anika Sharma,latency guard,ATLAS-2686,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00511,2020-02-09,cart-service,stage,atlas-data,PR-7738,REL-2024.12,flag_cart_service_new_write_path,25,partial,Noah Evans,latency guard,ATLAS-1201,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00512,2020-02-10,auth-gateway,prod,atlas-orders,PR-7546,REL-2023.3.2,flag_auth_gateway_dual_run,0,monitoring,Ravi Patel,manual approval,ATLAS-1969,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00513,2020-02-10,analytics-pipeline,stage,atlas-payments,PR-5647,REL-2021.3.7,flag_analytics_pipeline_dual_run,50,success,Fatima Noor,database lag guard,ATLAS-5978,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00514,2020-02-12,cart-service,canary,atlas-payments,PR-7880,REL-2021.1.10,flag_cart_service_payment_retry,5,paused,Owen Brooks,latency guard,ATLAS-4639,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00515,2020-02-13,payment-orchestrator,canary,atlas-orders,PR-8949,REL-2021.3.2,flag_payment_orchestrator_regional_launch,75,rolled back,Anika Sharma,database lag guard,ATLAS-2220,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00516,2020-02-15,auth-gateway,stage,atlas-payments,PR-7147,REL-2020.02,flag_auth_gateway_new_write_path,25,paused,Kim Tan,latency guard,ATLAS-1385,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00517,2020-02-15,payment-orchestrator,stage,atlas-checkout,PR-6530,REL-2021.07,flag_payment_orchestrator_new_write_path,10,paused,Dmitri Volkov,database lag guard,ATLAS-5500,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00518,2020-02-16,notification-service,canary,atlas-orders,PR-8320,REL-2023.1.18,flag_notification_service_rollback_guard,10,monitoring,Victor Silva,support volume guard,ATLAS-3378,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00519,2020-02-18,pricing-engine,canary,atlas-mobile,PR-5353,REL-2026.2.19,flag_pricing_engine_mobile_session,10,paused,Harper Lee,error budget guard,ATLAS-5625,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for pricing-engine."
DEP-00520,2020-02-20,auth-gateway,prod,atlas-orders,PR-8589,REL-2023.3.14,flag_auth_gateway_payment_retry,100,partial,Owen Brooks,latency guard,ATLAS-1371,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00521,2020-02-21,search-recommendations,prod,atlas-web,PR-7831,REL-2020.08,flag_search_recommendations_new_write_path,1,rolled back,Mateo Garcia,database lag guard,ATLAS-6142,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00522,2020-02-23,checkout-api,prod,atlas-orders,PR-5557,REL-2025.1.9,flag_checkout_api_payment_retry,5,monitoring,Sara Novak,support volume guard,ATLAS-4370,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00523,2020-02-24,tax-service,prod,atlas-data,PR-8380,REL-2023.3.0,flag_tax_service_dual_run,100,rolled back,Sara Novak,database lag guard,ATLAS-5048,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00524,2020-02-24,search-recommendations,prod,atlas-web,PR-9927,REL-2022.3.11,flag_search_recommendations_regional_launch,25,partial,Sara Novak,latency guard,ATLAS-3469,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00525,2020-02-26,checkout-api,prod,atlas-mobile,PR-9118,REL-2026.1.6,flag_checkout_api_new_write_path,50,partial,Mateo Garcia,manual approval,ATLAS-4122,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00526,2020-02-27,cart-service,canary,atlas-checkout,PR-11057,REL-2023.4.3,flag_cart_service_payment_retry,10,success,Nora Singh,error budget guard,ATLAS-1078,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00527,2020-02-28,tax-service,prod,atlas-data,PR-5871,REL-2024.3.6,flag_tax_service_regional_launch,1,rolled back,Maya Chen,latency guard,ATLAS-5178,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00528,2020-02-29,search-recommendations,canary,atlas-checkout,PR-5635,REL-2020.03,flag_search_recommendations_payment_retry,5,monitoring,Kim Tan,manual approval,ATLAS-2828,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00529,2020-03-01,search-recommendations,stage,atlas-checkout,PR-9347,REL-2022.2.17,flag_search_recommendations_dual_run,100,paused,Luca Moretti,latency guard,ATLAS-3665,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00530,2020-03-03,checkout-api,canary,atlas-observability,PR-11629,REL-2018.4.12,flag_checkout_api_mobile_session,25,monitoring,Ravi Patel,manual approval,ATLAS-1655,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00531,2020-03-05,pricing-engine,stage,atlas-checkout,PR-8102,REL-2025.06,flag_pricing_engine_mobile_session,50,rolled back,Owen Brooks,latency guard,ATLAS-1897,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for pricing-engine."
DEP-00532,2020-03-04,loyalty-service,prod,atlas-data,PR-9454,REL-2020.2.8,flag_loyalty_service_new_write_path,1,partial,Nora Singh,support volume guard,ATLAS-3830,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00533,2020-03-05,auth-gateway,canary,atlas-payments,PR-7555,REL-2021.3.8,flag_auth_gateway_regional_launch,5,rolled back,Kim Tan,error budget guard,ATLAS-4085,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00534,2020-03-07,notification-service,canary,atlas-mobile,PR-10238,REL-2022.2.2,flag_notification_service_new_write_path,10,paused,Maya Chen,manual approval,ATLAS-3614,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00535,2020-03-08,tax-service,canary,atlas-data,PR-11237,REL-2021.04,flag_tax_service_mobile_session,50,success,Ravi Patel,latency guard,ATLAS-5120,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00536,2020-03-10,order-ledger,prod,atlas-checkout,PR-9969,REL-2024.3.4,flag_order_ledger_dual_run,10,monitoring,Harper Lee,error budget guard,ATLAS-5320,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00537,2020-03-12,payment-orchestrator,prod,atlas-observability,PR-5450,REL-2025.06,flag_payment_orchestrator_mobile_session,75,success,Ben Carter,support volume guard,ATLAS-4738,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00538,2020-03-12,search-recommendations,canary,atlas-data,PR-8305,REL-2021.1.12,flag_search_recommendations_new_write_path,5,partial,Ravi Patel,manual approval,ATLAS-1807,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00539,2020-03-15,pricing-engine,prod,atlas-data,PR-7776,REL-2018.2.13,flag_pricing_engine_new_write_path,25,paused,Ben Carter,latency guard,ATLAS-2313,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for pricing-engine."
DEP-00540,2020-03-14,checkout-api,canary,atlas-web,PR-5860,REL-2025.1.8,flag_checkout_api_regional_launch,1,monitoring,Harper Lee,latency guard,ATLAS-4250,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00541,2020-03-17,notification-service,canary,atlas-payments,PR-10022,REL-2026.01,flag_notification_service_rollback_guard,100,partial,Yara Haddad,manual approval,ATLAS-3208,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00542,2020-03-16,cart-service,prod,atlas-checkout,PR-7340,REL-2023.1.19,flag_cart_service_rollback_guard,50,rolled back,Nora Singh,database lag guard,ATLAS-1705,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00543,2020-03-20,inventory-reservation,stage,atlas-payments,PR-8470,REL-2022.2.2,flag_inventory_reservation_new_write_path,0,monitoring,Grace Kim,support volume guard,ATLAS-1181,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00544,2020-03-21,loyalty-service,canary,atlas-payments,PR-10091,REL-2025.2.18,flag_loyalty_service_regional_launch,5,paused,Kim Tan,database lag guard,ATLAS-4071,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00545,2020-03-21,auth-gateway,canary,atlas-payments,PR-6875,REL-2025.3.8,flag_auth_gateway_dual_run,75,monitoring,Dmitri Volkov,support volume guard,ATLAS-5646,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00546,2020-03-21,search-recommendations,prod,atlas-observability,PR-7856,REL-2024.3.11,flag_search_recommendations_mobile_session,0,paused,Mateo Garcia,database lag guard,ATLAS-5196,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00547,2020-03-22,search-recommendations,prod,atlas-payments,PR-9691,REL-2019.4.2,flag_search_recommendations_new_write_path,75,success,Iris Wang,support volume guard,ATLAS-3595,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00548,2020-03-26,search-recommendations,canary,atlas-data,PR-9883,REL-2022.06,flag_search_recommendations_new_write_path,1,partial,Fatima Noor,latency guard,ATLAS-3456,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00549,2020-03-26,auth-gateway,prod,atlas-web,PR-5408,REL-2019.02,flag_auth_gateway_rollback_guard,75,rolled back,Ben Carter,support volume guard,ATLAS-4253,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00550,2020-03-27,loyalty-service,stage,atlas-orders,PR-11655,REL-2023.04,flag_loyalty_service_payment_retry,50,partial,Fatima Noor,support volume guard,ATLAS-3979,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00551,2020-03-29,notification-service,canary,atlas-data,PR-7823,REL-2021.1.4,flag_notification_service_mobile_session,0,paused,Luca Moretti,support volume guard,ATLAS-5368,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00552,2020-03-28,search-recommendations,stage,atlas-payments,PR-5583,REL-2022.11,flag_search_recommendations_dual_run,5,success,Anika Sharma,manual approval,ATLAS-5256,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00553,2020-03-30,inventory-reservation,canary,atlas-orders,PR-9502,REL-2022.4.14,flag_inventory_reservation_dual_run,1,paused,Yara Haddad,latency guard,ATLAS-5804,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00554,2020-04-02,loyalty-service,canary,atlas-web,PR-6047,REL-2021.4.19,flag_loyalty_service_payment_retry,100,monitoring,Iris Wang,database lag guard,ATLAS-5754,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00555,2020-04-01,checkout-api,canary,atlas-web,PR-11570,REL-2020.1.14,flag_checkout_api_dual_run,100,paused,Yara Haddad,manual approval,ATLAS-1880,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00556,2020-04-02,checkout-api,stage,atlas-infra,PR-11314,REL-2023.4.2,flag_checkout_api_regional_launch,0,success,Jon Bell,database lag guard,ATLAS-3905,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00557,2020-04-04,auth-gateway,prod,atlas-checkout,PR-8922,REL-2020.1.5,flag_auth_gateway_mobile_session,100,rolled back,Elena Petrova,manual approval,ATLAS-3439,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00558,2020-04-07,auth-gateway,canary,atlas-payments,PR-7512,REL-2018.08,flag_auth_gateway_new_write_path,50,rolled back,Mateo Garcia,manual approval,ATLAS-3655,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00559,2020-04-07,pricing-engine,stage,atlas-observability,PR-6744,REL-2025.10,flag_pricing_engine_payment_retry,10,partial,Dmitri Volkov,error budget guard,ATLAS-4321,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for pricing-engine."
DEP-00560,2020-04-08,loyalty-service,canary,atlas-infra,PR-12133,REL-2026.01,flag_loyalty_service_mobile_session,5,success,Luca Moretti,manual approval,ATLAS-2820,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00561,2020-04-10,analytics-pipeline,prod,atlas-payments,PR-11122,REL-2023.10,flag_analytics_pipeline_payment_retry,5,rolled back,Aisha Khan,support volume guard,ATLAS-3201,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00562,2020-04-12,search-recommendations,canary,atlas-web,PR-8681,REL-2022.1.5,flag_search_recommendations_rollback_guard,5,success,Harper Lee,manual approval,ATLAS-4106,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00563,2020-04-13,order-ledger,stage,atlas-infra,PR-5300,REL-2025.1.7,flag_order_ledger_regional_launch,75,monitoring,Owen Brooks,latency guard,ATLAS-3080,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00564,2020-04-12,notification-service,canary,atlas-data,PR-8842,REL-2018.3.10,flag_notification_service_payment_retry,25,success,Aisha Khan,error budget guard,ATLAS-5840,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00565,2020-04-13,auth-gateway,prod,atlas-web,PR-8150,REL-2022.4.10,flag_auth_gateway_regional_launch,1,rolled back,Samir Rao,latency guard,ATLAS-4366,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00566,2020-04-14,search-recommendations,prod,atlas-data,PR-10230,REL-2025.2.1,flag_search_recommendations_rollback_guard,75,partial,Luca Moretti,database lag guard,ATLAS-5513,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00567,2020-04-18,checkout-api,stage,atlas-web,PR-6337,REL-2019.4.6,flag_checkout_api_mobile_session,75,rolled back,Owen Brooks,error budget guard,ATLAS-4538,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00568,2020-04-17,analytics-pipeline,canary,atlas-infra,PR-5767,REL-2019.09,flag_analytics_pipeline_regional_launch,25,success,Iris Wang,manual approval,ATLAS-4953,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00569,2020-04-18,auth-gateway,stage,atlas-data,PR-10078,REL-2023.03,flag_auth_gateway_mobile_session,1,partial,Dmitri Volkov,latency guard,ATLAS-1662,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00570,2020-04-20,cart-service,canary,atlas-web,PR-6838,REL-2022.3.19,flag_cart_service_rollback_guard,25,success,Anika Sharma,manual approval,ATLAS-3881,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00571,2020-04-22,checkout-api,prod,atlas-web,PR-7033,REL-2021.4.17,flag_checkout_api_payment_retry,50,partial,Kim Tan,error budget guard,ATLAS-5711,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00572,2020-04-22,payment-orchestrator,stage,atlas-mobile,PR-6591,REL-2023.3.8,flag_payment_orchestrator_rollback_guard,50,paused,Iris Wang,support volume guard,ATLAS-3265,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00573,2020-04-25,tax-service,stage,atlas-infra,PR-5504,REL-2020.2.2,flag_tax_service_regional_launch,1,monitoring,Priya Nair,manual approval,ATLAS-1926,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00574,2020-04-26,payment-orchestrator,canary,atlas-observability,PR-10723,REL-2023.2.12,flag_payment_orchestrator_mobile_session,50,monitoring,Dmitri Volkov,error budget guard,ATLAS-1333,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00575,2020-04-25,analytics-pipeline,stage,atlas-infra,PR-7486,REL-2021.4.5,flag_analytics_pipeline_rollback_guard,1,success,Fatima Noor,latency guard,ATLAS-2005,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00576,2020-04-26,loyalty-service,stage,atlas-web,PR-9910,REL-2022.11,flag_loyalty_service_payment_retry,100,partial,Harper Lee,database lag guard,ATLAS-5399,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00577,2020-04-29,checkout-api,prod,atlas-payments,PR-11854,REL-2021.1.10,flag_checkout_api_dual_run,25,rolled back,Fatima Noor,error budget guard,ATLAS-3007,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00578,2020-05-01,cart-service,stage,atlas-orders,PR-9105,REL-2021.2.5,flag_cart_service_rollback_guard,25,paused,Mateo Garcia,database lag guard,ATLAS-1236,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00579,2020-05-02,order-ledger,stage,atlas-checkout,PR-7069,REL-2019.1.14,flag_order_ledger_payment_retry,10,monitoring,Kim Tan,support volume guard,ATLAS-3414,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00580,2020-05-02,loyalty-service,canary,atlas-infra,PR-5399,REL-2024.4.8,flag_loyalty_service_new_write_path,75,success,Iris Wang,latency guard,ATLAS-3059,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00581,2020-05-04,tax-service,prod,atlas-observability,PR-7493,REL-2021.04,flag_tax_service_regional_launch,50,success,Grace Kim,manual approval,ATLAS-4344,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00582,2020-05-04,tax-service,stage,atlas-web,PR-11195,REL-2022.2.9,flag_tax_service_new_write_path,1,partial,Nora Singh,support volume guard,ATLAS-3567,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00583,2020-05-06,analytics-pipeline,stage,atlas-payments,PR-7227,REL-2025.2.18,flag_analytics_pipeline_new_write_path,100,partial,Harper Lee,latency guard,ATLAS-5744,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00584,2020-05-06,notification-service,prod,atlas-infra,PR-5896,REL-2021.1.10,flag_notification_service_dual_run,1,rolled back,Priya Nair,support volume guard,ATLAS-2813,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00585,2020-05-08,inventory-reservation,prod,atlas-web,PR-9465,REL-2018.4.9,flag_inventory_reservation_payment_retry,0,paused,Harper Lee,database lag guard,ATLAS-5014,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00586,2020-05-11,payment-orchestrator,stage,atlas-infra,PR-11483,REL-2025.1.6,flag_payment_orchestrator_new_write_path,100,paused,Theo Martin,error budget guard,ATLAS-2147,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00587,2020-05-10,tax-service,prod,atlas-checkout,PR-9144,REL-2023.1.3,flag_tax_service_mobile_session,50,partial,Priya Nair,support volume guard,ATLAS-3572,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00588,2020-05-12,checkout-api,prod,atlas-mobile,PR-10319,REL-2023.1.7,flag_checkout_api_rollback_guard,1,rolled back,Theo Martin,manual approval,ATLAS-3317,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00589,2020-05-14,inventory-reservation,stage,atlas-observability,PR-6118,REL-2024.4.8,flag_inventory_reservation_mobile_session,1,partial,Aisha Khan,support volume guard,ATLAS-5545,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00590,2020-05-13,notification-service,prod,atlas-observability,PR-10582,REL-2019.4.3,flag_notification_service_dual_run,0,success,Mateo Garcia,error budget guard,ATLAS-5081,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00591,2020-05-17,order-ledger,stage,atlas-infra,PR-6503,REL-2024.11,flag_order_ledger_payment_retry,50,monitoring,Jon Bell,database lag guard,ATLAS-2383,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00592,2020-05-16,notification-service,stage,atlas-observability,PR-7101,REL-2026.01,flag_notification_service_rollback_guard,50,paused,Aisha Khan,support volume guard,ATLAS-2603,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00593,2020-05-18,order-ledger,prod,atlas-observability,PR-6781,REL-2023.03,flag_order_ledger_mobile_session,50,monitoring,Luca Moretti,database lag guard,ATLAS-5304,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00594,2020-05-18,tax-service,stage,atlas-checkout,PR-6783,REL-2019.1.14,flag_tax_service_rollback_guard,1,partial,Elena Petrova,error budget guard,ATLAS-3709,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00595,2020-05-20,search-recommendations,stage,atlas-orders,PR-6967,REL-2021.2.9,flag_search_recommendations_new_write_path,5,partial,Theo Martin,manual approval,ATLAS-4695,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00596,2020-05-23,loyalty-service,canary,atlas-web,PR-5091,REL-2022.3.12,flag_loyalty_service_dual_run,5,rolled back,Elena Petrova,support volume guard,ATLAS-3044,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00597,2020-05-23,loyalty-service,stage,atlas-mobile,PR-10948,REL-2025.4.4,flag_loyalty_service_payment_retry,75,rolled back,Owen Brooks,database lag guard,ATLAS-5611,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00598,2020-05-25,auth-gateway,canary,atlas-mobile,PR-9587,REL-2026.04,flag_auth_gateway_mobile_session,5,success,Priya Nair,latency guard,ATLAS-2368,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for auth-gateway."
DEP-00599,2020-05-26,analytics-pipeline,prod,atlas-web,PR-6365,REL-2019.4.3,flag_analytics_pipeline_regional_launch,10,monitoring,Grace Kim,error budget guard,ATLAS-5421,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00600,2020-05-28,search-recommendations,prod,atlas-orders,PR-10609,REL-2025.11,flag_search_recommendations_dual_run,1,monitoring,Dmitri Volkov,database lag guard,ATLAS-1253,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for search-recommendations."
DEP-00601,2020-05-27,order-ledger,prod,atlas-data,PR-9193,REL-2022.2.6,flag_order_ledger_dual_run,5,partial,Anika Sharma,manual approval,ATLAS-5316,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00602,2020-05-28,loyalty-service,stage,atlas-mobile,PR-10821,REL-2023.3.14,flag_loyalty_service_rollback_guard,50,monitoring,Kim Tan,error budget guard,ATLAS-1077,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00603,2020-05-31,analytics-pipeline,prod,atlas-payments,PR-5257,REL-2019.07,flag_analytics_pipeline_new_write_path,100,partial,Owen Brooks,error budget guard,ATLAS-2851,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00604,2020-06-01,cart-service,prod,atlas-checkout,PR-10476,REL-2021.4.15,flag_cart_service_dual_run,0,partial,Owen Brooks,support volume guard,ATLAS-1079,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
DEP-00605,2020-06-02,payment-orchestrator,prod,atlas-mobile,PR-6202,REL-2022.06,flag_payment_orchestrator_dual_run,25,rolled back,Iris Wang,support volume guard,ATLAS-3216,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00606,2020-06-04,order-ledger,prod,atlas-payments,PR-9005,REL-2025.2.5,flag_order_ledger_dual_run,50,monitoring,Luca Moretti,manual approval,ATLAS-2247,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00607,2020-06-04,payment-orchestrator,canary,atlas-checkout,PR-6875,REL-2025.05,flag_payment_orchestrator_payment_retry,25,partial,Theo Martin,error budget guard,ATLAS-2782,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00608,2020-06-04,cart-service,canary,atlas-orders,PR-6796,REL-2020.1.0,flag_cart_service_rollback_guard,100,partial,Theo Martin,error budget guard,ATLAS-5823,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for cart-service."
