incident_id,started_at,resolved_at,duration_minutes,severity,service,incident_commander,on_call_engineer,status,root_cause,customer_impact,linked_jira,linked_pr,action_items
PD-2226,2020-05-31,2020-05-31,22,SEV3,auth-gateway,Maya Chen,Kim Tan,postmortem complete,queue backlog,latency spike,ATLAS-3835,PR-8968,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2227,2020-06-02,2020-06-02,31,SEV4,payment-orchestrator,Kim Tan,Theo Martin,resolved,schema migration lock,no customer impact detected,ATLAS-2401,PR-7813,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2228,2020-06-04,2020-06-04,72,SEV2,cart-service,Elena Petrova,Theo Martin,resolved,queue backlog,payment retries increased,ATLAS-4564,PR-6051,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2229,2020-06-08,2020-06-08,59,SEV3,inventory-reservation,Victor Silva,Theo Martin,resolved,inventory reservation deadlock,orders delayed,ATLAS-4772,PR-7919,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2230,2020-06-11,2020-06-11,30,SEV3,analytics-pipeline,Ben Carter,Owen Brooks,follow-up open,cache stampede,checkout errors increased,ATLAS-5422,PR-11339,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2231,2020-06-16,2020-06-16,84,SEV3,search-recommendations,Owen Brooks,Sara Novak,follow-up open,database connection saturation,latency spike,ATLAS-1680,PR-9763,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2232,2020-06-16,2020-06-16,231,SEV1,payment-orchestrator,Luca Moretti,Maya Chen,follow-up open,inventory reservation deadlock,latency spike,ATLAS-2455,PR-8988,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2233,2020-06-20,2020-06-20,5,SEV4,payment-orchestrator,Maya Chen,Luca Moretti,follow-up open,database connection saturation,payment retries increased,ATLAS-1272,PR-5579,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2234,2020-06-26,2020-06-26,93,SEV3,search-recommendations,Harper Lee,Fatima Noor,resolved,queue backlog,support ticket volume increased,ATLAS-1949,PR-11656,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2235,2020-06-25,2020-06-25,11,SEV3,cart-service,Dmitri Volkov,Mateo Garcia,resolved,database connection saturation,payment retries increased,ATLAS-3806,PR-10039,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2236,2020-06-30,2020-06-30,70,SEV3,pricing-engine,Nora Singh,Nora Singh,postmortem complete,payment provider timeout,support ticket volume increased,ATLAS-5320,PR-10326,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2237,2020-07-03,2020-07-03,7,SEV3,checkout-api,Samir Rao,Fatima Noor,follow-up open,payment provider timeout,latency spike,ATLAS-2976,PR-5657,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2238,2020-07-05,2020-07-05,118,SEV3,pricing-engine,Grace Kim,Fatima Noor,resolved,database connection saturation,support ticket volume increased,ATLAS-5774,PR-6177,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2239,2020-07-10,2020-07-10,64,SEV4,cart-service,Ravi Patel,Harper Lee,follow-up open,payment provider timeout,checkout errors increased,ATLAS-4375,PR-9200,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2240,2020-07-13,2020-07-13,59,SEV3,cart-service,Theo Martin,Victor Silva,follow-up open,inventory reservation deadlock,payment retries increased,ATLAS-4297,PR-6626,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2241,2020-07-16,2020-07-16,5,SEV4,notification-service,Owen Brooks,Iris Wang,follow-up open,database connection saturation,orders delayed,ATLAS-1998,PR-8653,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2242,2020-07-19,2020-07-19,124,SEV2,payment-orchestrator,Anika Sharma,Priya Nair,postmortem complete,queue backlog,latency spike,ATLAS-3964,PR-11573,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2243,2020-07-24,2020-07-24,45,SEV4,loyalty-service,Yara Haddad,Jon Bell,follow-up open,feature flag misconfiguration,support ticket volume increased,ATLAS-3033,PR-12593,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for loyalty-service."
PD-2244,2020-07-26,2020-07-26,101,SEV3,analytics-pipeline,Maya Chen,Jon Bell,resolved,inventory reservation deadlock,payment retries increased,ATLAS-2790,PR-9615,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2245,2020-07-31,2020-07-31,106,SEV2,cart-service,Owen Brooks,Theo Martin,postmortem complete,queue backlog,checkout errors increased,ATLAS-2097,PR-8700,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2246,2020-08-03,2020-08-03,5,SEV3,auth-gateway,Priya Nair,Harper Lee,postmortem complete,payment provider timeout,latency spike,ATLAS-1572,PR-7651,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2247,2020-08-07,2020-08-07,51,SEV3,analytics-pipeline,Priya Nair,Samir Rao,resolved,tax provider latency,latency spike,ATLAS-2547,PR-9603,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2248,2020-08-06,2020-08-06,5,SEV4,search-recommendations,Jon Bell,Anika Sharma,follow-up open,cache stampede,latency spike,ATLAS-5527,PR-10337,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2249,2020-08-12,2020-08-12,99,SEV3,pricing-engine,Priya Nair,Victor Silva,resolved,cache stampede,support ticket volume increased,ATLAS-1247,PR-5455,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2250,2020-08-14,2020-08-14,5,SEV4,payment-orchestrator,Ravi Patel,Maya Chen,follow-up open,schema migration lock,payment retries increased,ATLAS-1886,PR-6269,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2251,2020-08-19,2020-08-19,21,SEV3,inventory-reservation,Maya Chen,Dmitri Volkov,postmortem complete,schema migration lock,support ticket volume increased,ATLAS-1072,PR-5846,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2252,2020-08-19,2020-08-19,5,SEV3,analytics-pipeline,Elena Petrova,Luca Moretti,follow-up open,queue backlog,latency spike,ATLAS-3247,PR-6126,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2253,2020-08-25,2020-08-25,87,SEV3,pricing-engine,Owen Brooks,Theo Martin,resolved,database connection saturation,no customer impact detected,ATLAS-5484,PR-7923,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2254,2020-08-26,2020-08-26,142,SEV2,notification-service,Jon Bell,Victor Silva,postmortem complete,database connection saturation,checkout errors increased,ATLAS-3247,PR-6950,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2255,2020-08-31,2020-08-31,34,SEV4,notification-service,Maya Chen,Noah Evans,resolved,feature flag misconfiguration,payment retries increased,ATLAS-5807,PR-6528,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2256,2020-09-04,2020-09-04,5,SEV4,payment-orchestrator,Luca Moretti,Samir Rao,follow-up open,inventory reservation deadlock,orders delayed,ATLAS-4039,PR-12326,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2257,2020-09-05,2020-09-05,95,SEV2,order-ledger,Fatima Noor,Sara Novak,resolved,feature flag misconfiguration,checkout errors increased,ATLAS-1713,PR-5571,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2258,2020-09-07,2020-09-07,51,SEV4,pricing-engine,Maya Chen,Ben Carter,follow-up open,payment provider timeout,no customer impact detected,ATLAS-4064,PR-6452,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2259,2020-09-10,2020-09-10,85,SEV2,order-ledger,Iris Wang,Anika Sharma,postmortem complete,feature flag misconfiguration,no customer impact detected,ATLAS-1660,PR-6770,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2260,2020-09-14,2020-09-14,114,SEV3,inventory-reservation,Jon Bell,Ravi Patel,postmortem complete,feature flag misconfiguration,checkout errors increased,ATLAS-4751,PR-8504,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2261,2020-09-18,2020-09-18,61,SEV2,search-recommendations,Yara Haddad,Sara Novak,resolved,tax provider latency,latency spike,ATLAS-4835,PR-5991,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2262,2020-09-22,2020-09-22,68,SEV3,search-recommendations,Victor Silva,Jon Bell,resolved,database connection saturation,payment retries increased,ATLAS-4963,PR-12498,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2263,2020-09-26,2020-09-26,28,SEV3,pricing-engine,Grace Kim,Dmitri Volkov,postmortem complete,bad deployment,checkout errors increased,ATLAS-3290,PR-6865,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2264,2020-09-29,2020-09-29,111,SEV3,payment-orchestrator,Noah Evans,Fatima Noor,follow-up open,bad deployment,orders delayed,ATLAS-4346,PR-7063,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2265,2020-10-04,2020-10-04,78,SEV4,payment-orchestrator,Kim Tan,Noah Evans,follow-up open,payment provider timeout,latency spike,ATLAS-3367,PR-7554,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2266,2020-10-04,2020-10-04,80,SEV4,notification-service,Anika Sharma,Ben Carter,resolved,tax provider latency,support ticket volume increased,ATLAS-5182,PR-7929,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2267,2020-10-08,2020-10-08,160,SEV2,cart-service,Ravi Patel,Yara Haddad,postmortem complete,cache stampede,support ticket volume increased,ATLAS-2254,PR-10121,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2268,2020-10-11,2020-10-11,113,SEV2,notification-service,Kim Tan,Aisha Khan,resolved,payment provider timeout,latency spike,ATLAS-4179,PR-9267,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2269,2020-10-13,2020-10-13,147,SEV2,checkout-api,Theo Martin,Iris Wang,resolved,queue backlog,latency spike,ATLAS-2258,PR-8210,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2270,2020-10-17,2020-10-17,63,SEV3,inventory-reservation,Sara Novak,Dmitri Volkov,follow-up open,queue backlog,checkout errors increased,ATLAS-5105,PR-7257,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2271,2020-10-19,2020-10-19,234,SEV1,search-recommendations,Theo Martin,Priya Nair,follow-up open,feature flag misconfiguration,orders delayed,ATLAS-1274,PR-10007,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2272,2020-10-25,2020-10-25,21,SEV3,cart-service,Noah Evans,Mateo Garcia,follow-up open,schema migration lock,payment retries increased,ATLAS-5743,PR-5328,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2273,2020-10-25,2020-10-25,156,SEV2,payment-orchestrator,Kim Tan,Anika Sharma,follow-up open,bad deployment,payment retries increased,ATLAS-4244,PR-6516,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2274,2020-10-29,2020-10-29,5,SEV3,search-recommendations,Kim Tan,Maya Chen,postmortem complete,payment provider timeout,no customer impact detected,ATLAS-2406,PR-12445,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2275,2020-11-05,2020-11-05,102,SEV2,pricing-engine,Yara Haddad,Yara Haddad,follow-up open,queue backlog,support ticket volume increased,ATLAS-4634,PR-8888,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2276,2020-11-08,2020-11-08,57,SEV4,notification-service,Priya Nair,Victor Silva,postmortem complete,database connection saturation,no customer impact detected,ATLAS-3377,PR-9300,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2277,2020-11-09,2020-11-09,69,SEV4,inventory-reservation,Iris Wang,Ben Carter,postmortem complete,bad deployment,support ticket volume increased,ATLAS-4152,PR-9414,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2278,2020-11-11,2020-11-11,52,SEV3,payment-orchestrator,Kim Tan,Grace Kim,resolved,queue backlog,support ticket volume increased,ATLAS-4128,PR-9722,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2279,2020-11-14,2020-11-14,34,SEV3,payment-orchestrator,Elena Petrova,Ravi Patel,follow-up open,cache stampede,support ticket volume increased,ATLAS-2511,PR-7624,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2280,2020-11-18,2020-11-18,6,SEV4,pricing-engine,Yara Haddad,Grace Kim,resolved,database connection saturation,checkout errors increased,ATLAS-3317,PR-5037,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2281,2020-11-21,2020-11-21,5,SEV4,pricing-engine,Jon Bell,Priya Nair,follow-up open,inventory reservation deadlock,latency spike,ATLAS-2746,PR-9921,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2282,2020-11-26,2020-11-26,41,SEV4,loyalty-service,Priya Nair,Nora Singh,follow-up open,bad deployment,latency spike,ATLAS-3770,PR-5144,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for loyalty-service."
PD-2283,2020-11-30,2020-11-30,72,SEV3,notification-service,Ben Carter,Maya Chen,postmortem complete,bad deployment,no customer impact detected,ATLAS-4414,PR-8601,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2284,2020-12-03,2020-12-03,59,SEV4,tax-service,Noah Evans,Theo Martin,follow-up open,database connection saturation,orders delayed,ATLAS-6123,PR-5854,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2285,2020-12-03,2020-12-03,58,SEV4,analytics-pipeline,Theo Martin,Noah Evans,postmortem complete,payment provider timeout,latency spike,ATLAS-4169,PR-10009,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2286,2020-12-06,2020-12-06,136,SEV2,payment-orchestrator,Nora Singh,Aisha Khan,resolved,payment provider timeout,latency spike,ATLAS-3798,PR-11647,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2287,2020-12-10,2020-12-10,52,SEV4,auth-gateway,Luca Moretti,Theo Martin,postmortem complete,queue backlog,orders delayed,ATLAS-2389,PR-8550,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2288,2020-12-15,2020-12-15,76,SEV4,auth-gateway,Fatima Noor,Luca Moretti,resolved,cache stampede,checkout errors increased,ATLAS-4658,PR-7444,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2289,2020-12-19,2020-12-19,7,SEV3,notification-service,Theo Martin,Anika Sharma,postmortem complete,schema migration lock,payment retries increased,ATLAS-1972,PR-6748,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2290,2020-12-21,2020-12-21,48,SEV3,inventory-reservation,Victor Silva,Owen Brooks,follow-up open,payment provider timeout,payment retries increased,ATLAS-1427,PR-10196,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2291,2020-12-23,2020-12-23,45,SEV4,loyalty-service,Anika Sharma,Ben Carter,follow-up open,payment provider timeout,checkout errors increased,ATLAS-2235,PR-5768,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for loyalty-service."
PD-2292,2020-12-29,2020-12-29,64,SEV3,cart-service,Yara Haddad,Fatima Noor,postmortem complete,feature flag misconfiguration,support ticket volume increased,ATLAS-1809,PR-9522,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2293,2020-12-31,2020-12-31,59,SEV4,notification-service,Harper Lee,Noah Evans,postmortem complete,bad deployment,no customer impact detected,ATLAS-3798,PR-9873,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2294,2021-01-03,2021-01-03,80,SEV3,order-ledger,Owen Brooks,Priya Nair,follow-up open,tax provider latency,orders delayed,ATLAS-4500,PR-8449,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2295,2021-01-04,2021-01-04,31,SEV3,checkout-api,Owen Brooks,Luca Moretti,resolved,inventory reservation deadlock,support ticket volume increased,ATLAS-2206,PR-9357,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2296,2021-01-11,2021-01-11,72,SEV3,loyalty-service,Fatima Noor,Mateo Garcia,resolved,payment provider timeout,orders delayed,ATLAS-3756,PR-10740,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for loyalty-service."
PD-2297,2021-01-12,2021-01-12,18,SEV4,pricing-engine,Maya Chen,Dmitri Volkov,resolved,queue backlog,no customer impact detected,ATLAS-1537,PR-9300,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2298,2021-01-18,2021-01-18,41,SEV4,cart-service,Jon Bell,Victor Silva,resolved,database connection saturation,support ticket volume increased,ATLAS-4550,PR-9128,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2299,2021-01-20,2021-01-20,86,SEV4,loyalty-service,Grace Kim,Aisha Khan,postmortem complete,bad deployment,checkout errors increased,ATLAS-3195,PR-8124,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for loyalty-service."
PD-2300,2021-01-24,2021-01-24,68,SEV3,payment-orchestrator,Fatima Noor,Iris Wang,resolved,cache stampede,payment retries increased,ATLAS-4460,PR-8845,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2301,2021-01-26,2021-01-26,32,SEV4,pricing-engine,Elena Petrova,Aisha Khan,follow-up open,schema migration lock,latency spike,ATLAS-2230,PR-8554,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2302,2021-01-28,2021-01-28,15,SEV3,analytics-pipeline,Harper Lee,Samir Rao,postmortem complete,inventory reservation deadlock,no customer impact detected,ATLAS-3473,PR-5836,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2303,2021-01-31,2021-01-31,123,SEV2,auth-gateway,Dmitri Volkov,Dmitri Volkov,postmortem complete,payment provider timeout,orders delayed,ATLAS-5001,PR-7903,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2304,2021-02-05,2021-02-05,44,SEV4,analytics-pipeline,Jon Bell,Aisha Khan,follow-up open,tax provider latency,orders delayed,ATLAS-4660,PR-7124,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2305,2021-02-10,2021-02-10,14,SEV4,inventory-reservation,Priya Nair,Noah Evans,resolved,bad deployment,no customer impact detected,ATLAS-2631,PR-5986,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2306,2021-02-13,2021-02-13,30,SEV3,order-ledger,Noah Evans,Nora Singh,postmortem complete,inventory reservation deadlock,orders delayed,ATLAS-4629,PR-11368,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2307,2021-02-12,2021-02-12,5,SEV4,auth-gateway,Theo Martin,Anika Sharma,resolved,feature flag misconfiguration,payment retries increased,ATLAS-3476,PR-9217,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2308,2021-02-18,2021-02-18,11,SEV3,pricing-engine,Yara Haddad,Harper Lee,resolved,queue backlog,orders delayed,ATLAS-4240,PR-5678,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2309,2021-02-20,2021-02-20,17,SEV4,tax-service,Anika Sharma,Dmitri Volkov,follow-up open,schema migration lock,support ticket volume increased,ATLAS-5862,PR-10476,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2310,2021-02-22,2021-02-22,54,SEV4,auth-gateway,Victor Silva,Mateo Garcia,postmortem complete,schema migration lock,support ticket volume increased,ATLAS-6150,PR-12532,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2311,2021-02-28,2021-02-28,5,SEV4,order-ledger,Owen Brooks,Dmitri Volkov,postmortem complete,database connection saturation,orders delayed,ATLAS-2688,PR-7373,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2312,2021-03-01,2021-03-01,68,SEV3,pricing-engine,Sara Novak,Grace Kim,follow-up open,cache stampede,checkout errors increased,ATLAS-3460,PR-8520,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2313,2021-03-08,2021-03-08,98,SEV2,search-recommendations,Maya Chen,Victor Silva,follow-up open,tax provider latency,orders delayed,ATLAS-2156,PR-7520,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2314,2021-03-10,2021-03-10,56,SEV3,checkout-api,Iris Wang,Fatima Noor,follow-up open,inventory reservation deadlock,latency spike,ATLAS-5781,PR-5998,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2315,2021-03-13,2021-03-13,12,SEV4,search-recommendations,Dmitri Volkov,Fatima Noor,follow-up open,database connection saturation,checkout errors increased,ATLAS-1961,PR-7477,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2316,2021-03-14,2021-03-14,67,SEV3,checkout-api,Ravi Patel,Dmitri Volkov,follow-up open,inventory reservation deadlock,checkout errors increased,ATLAS-3749,PR-9730,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2317,2021-03-16,2021-03-16,119,SEV2,order-ledger,Harper Lee,Sara Novak,follow-up open,feature flag misconfiguration,checkout errors increased,ATLAS-3109,PR-12412,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2318,2021-03-24,2021-03-24,5,SEV4,inventory-reservation,Aisha Khan,Theo Martin,resolved,database connection saturation,payment retries increased,ATLAS-3773,PR-7308,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2319,2021-03-23,2021-03-23,92,SEV2,auth-gateway,Anika Sharma,Sara Novak,resolved,inventory reservation deadlock,orders delayed,ATLAS-4969,PR-8492,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2320,2021-03-30,2021-03-30,34,SEV4,cart-service,Yara Haddad,Nora Singh,postmortem complete,tax provider latency,payment retries increased,ATLAS-1457,PR-5876,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2321,2021-03-31,2021-03-31,185,SEV1,inventory-reservation,Nora Singh,Kim Tan,postmortem complete,bad deployment,support ticket volume increased,ATLAS-4869,PR-10098,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2322,2021-04-04,2021-04-04,58,SEV3,inventory-reservation,Sara Novak,Ravi Patel,postmortem complete,bad deployment,no customer impact detected,ATLAS-5698,PR-8504,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2323,2021-04-07,2021-04-07,43,SEV3,order-ledger,Yara Haddad,Yara Haddad,follow-up open,schema migration lock,latency spike,ATLAS-4539,PR-8750,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2324,2021-04-09,2021-04-09,5,SEV3,inventory-reservation,Anika Sharma,Yara Haddad,postmortem complete,payment provider timeout,payment retries increased,ATLAS-1528,PR-11967,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2325,2021-04-11,2021-04-11,5,SEV4,analytics-pipeline,Kim Tan,Iris Wang,postmortem complete,schema migration lock,payment retries increased,ATLAS-1916,PR-6086,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2326,2021-04-19,2021-04-19,17,SEV4,inventory-reservation,Priya Nair,Dmitri Volkov,postmortem complete,cache stampede,orders delayed,ATLAS-4533,PR-7535,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2327,2021-04-21,2021-04-21,22,SEV4,payment-orchestrator,Nora Singh,Theo Martin,postmortem complete,inventory reservation deadlock,payment retries increased,ATLAS-5938,PR-7292,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2328,2021-04-23,2021-04-23,5,SEV4,auth-gateway,Kim Tan,Yara Haddad,postmortem complete,cache stampede,orders delayed,ATLAS-1601,PR-8612,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2329,2021-04-24,2021-04-24,5,SEV3,payment-orchestrator,Elena Petrova,Kim Tan,postmortem complete,inventory reservation deadlock,no customer impact detected,ATLAS-5490,PR-8913,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2330,2021-04-27,2021-04-27,5,SEV4,pricing-engine,Ben Carter,Noah Evans,follow-up open,inventory reservation deadlock,support ticket volume increased,ATLAS-5235,PR-6859,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2331,2021-05-03,2021-05-03,112,SEV3,inventory-reservation,Anika Sharma,Priya Nair,postmortem complete,database connection saturation,checkout errors increased,ATLAS-3624,PR-8609,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2332,2021-05-08,2021-05-08,5,SEV3,notification-service,Owen Brooks,Elena Petrova,postmortem complete,tax provider latency,latency spike,ATLAS-2809,PR-7313,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2333,2021-05-07,2021-05-07,27,SEV3,tax-service,Owen Brooks,Grace Kim,follow-up open,schema migration lock,orders delayed,ATLAS-6016,PR-10802,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for tax-service."
PD-2334,2021-05-11,2021-05-11,9,SEV4,auth-gateway,Theo Martin,Sara Novak,follow-up open,database connection saturation,no customer impact detected,ATLAS-1784,PR-11352,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2335,2021-05-15,2021-05-15,5,SEV4,cart-service,Luca Moretti,Nora Singh,follow-up open,schema migration lock,latency spike,ATLAS-3912,PR-11901,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2336,2021-05-18,2021-05-18,29,SEV4,auth-gateway,Owen Brooks,Harper Lee,follow-up open,bad deployment,no customer impact detected,ATLAS-2262,PR-9127,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for auth-gateway."
PD-2337,2021-05-21,2021-05-21,5,SEV4,pricing-engine,Ravi Patel,Aisha Khan,resolved,bad deployment,support ticket volume increased,ATLAS-1415,PR-7355,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
PD-2338,2021-05-27,2021-05-27,7,SEV4,pricing-engine,Ben Carter,Ben Carter,resolved,database connection saturation,no customer impact detected,ATLAS-5231,PR-8815,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for pricing-engine."
