support_id,created_at,customer,customer_tier,category,severity,service,status,owner,linked_jira,linked_incident,sentiment,summary,next_action
SUP-700310,2019-05-13,BluePeak Apparel,self-serve,inventory mismatch,medium,cart-service,monitoring,Yara Haddad,ATLAS-1542,PD-2327,anxious,"Customer reported inventory mismatch around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700311,2019-05-16,Harbor Books,enterprise,coupon issue,medium,tax-service,monitoring,Maya Chen,ATLAS-3941,PD-2276,blocked,"Customer reported coupon issue around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700312,2019-05-17,UrbanMarket,internal,mobile session timeout,high,loyalty-service,escalated,Theo Martin,ATLAS-3461,,negative,"Customer reported mobile session timeout around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700313,2019-05-18,BluePeak Apparel,mid-market,tax mismatch,medium,inventory-reservation,pending engineering,Nora Singh,ATLAS-5616,,neutral,"Customer reported tax mismatch around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700314,2019-05-19,UrbanMarket,self-serve,order confirmation delay,medium,auth-gateway,pending engineering,Nora Singh,ATLAS-1463,,neutral,"Customer reported order confirmation delay around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700315,2019-05-17,Summit Sports,internal,performance complaint,low,analytics-pipeline,open,Ravi Patel,ATLAS-5518,PD-2497,positive,"Customer reported performance complaint around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700316,2019-05-21,Summit Sports,internal,tax mismatch,medium,tax-service,solved,Iris Wang,ATLAS-2702,,anxious,"Customer reported tax mismatch around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700317,2019-05-23,Summit Sports,internal,inventory mismatch,low,pricing-engine,open,Dmitri Volkov,ATLAS-2108,,blocked,"Customer reported inventory mismatch around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700318,2019-05-23,Summit Sports,internal,mobile session timeout,low,payment-orchestrator,escalated,Aisha Khan,ATLAS-5534,,neutral,"Customer reported mobile session timeout around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700319,2019-05-23,Atlas Demo Customer,internal,payment retry,low,loyalty-service,pending engineering,Theo Martin,ATLAS-5678,,neutral,"Customer reported payment retry around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700320,2019-05-23,Luna Home,enterprise,loyalty points missing,high,loyalty-service,open,Fatima Noor,ATLAS-3076,,negative,"Customer reported loyalty points missing around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700321,2019-05-26,Harbor Books,mid-market,coupon issue,low,cart-service,solved,Owen Brooks,ATLAS-4333,PD-2110,negative,"Customer reported coupon issue around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700322,2019-05-25,Luna Home,self-serve,payment retry,low,pricing-engine,monitoring,Victor Silva,ATLAS-4325,PD-2840,negative,"Customer reported payment retry around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700323,2019-05-28,Summit Sports,internal,tax mismatch,medium,loyalty-service,pending engineering,Anika Sharma,ATLAS-1953,PD-2573,neutral,"Customer reported tax mismatch around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700324,2019-05-27,Luna Home,internal,payment retry,low,pricing-engine,escalated,Grace Kim,ATLAS-2404,,blocked,"Customer reported payment retry around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700325,2019-05-31,BrightCart EU,mid-market,coupon issue,medium,payment-orchestrator,pending engineering,Theo Martin,ATLAS-4542,,anxious,"Customer reported coupon issue around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700326,2019-06-02,Harbor Books,self-serve,loyalty points missing,medium,payment-orchestrator,monitoring,Sara Novak,ATLAS-5718,PD-2089,neutral,"Customer reported loyalty points missing around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700327,2019-06-01,Vertex Outlet,mid-market,coupon issue,medium,notification-service,pending engineering,Owen Brooks,ATLAS-5652,PD-2179,negative,"Customer reported coupon issue around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700328,2019-06-01,FreshNest Grocery,mid-market,coupon issue,medium,checkout-api,escalated,Mateo Garcia,ATLAS-2315,,negative,"Customer reported coupon issue around checkout-api. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700329,2019-06-05,Vertex Outlet,mid-market,loyalty points missing,medium,notification-service,open,Luca Moretti,ATLAS-5274,,neutral,"Customer reported loyalty points missing around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700330,2019-06-05,Summit Sports,internal,order confirmation delay,urgent,loyalty-service,open,Noah Evans,ATLAS-5718,,negative,"Customer reported order confirmation delay around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700331,2019-06-06,Vertex Outlet,mid-market,coupon issue,medium,search-recommendations,open,Sara Novak,ATLAS-5474,,negative,"Customer reported coupon issue around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700332,2019-06-08,Cedar Pharmacy,self-serve,checkout failure,low,payment-orchestrator,escalated,Anika Sharma,ATLAS-5799,PD-2278,anxious,"Customer reported checkout failure around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700333,2019-06-06,Summit Sports,self-serve,mobile session timeout,medium,auth-gateway,escalated,Noah Evans,ATLAS-5795,PD-2642,negative,"Customer reported mobile session timeout around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700334,2019-06-10,Summit Sports,mid-market,checkout failure,high,checkout-api,escalated,Elena Petrova,ATLAS-5715,PD-2486,positive,"Customer reported checkout failure around checkout-api. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700335,2019-06-11,Vertex Outlet,self-serve,mobile session timeout,low,auth-gateway,solved,Priya Nair,ATLAS-5242,PD-2707,positive,"Customer reported mobile session timeout around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700336,2019-06-13,Harbor Books,self-serve,performance complaint,medium,order-ledger,open,Jon Bell,ATLAS-2527,PD-2650,negative,"Customer reported performance complaint around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700337,2019-06-12,FreshNest Grocery,self-serve,checkout failure,high,analytics-pipeline,monitoring,Ben Carter,ATLAS-3906,PD-2079,positive,"Customer reported checkout failure around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700338,2019-06-15,Atlas Demo Customer,mid-market,checkout failure,high,analytics-pipeline,pending engineering,Jon Bell,ATLAS-5743,,blocked,"Customer reported checkout failure around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700339,2019-06-14,Northstar Retail,mid-market,performance complaint,medium,notification-service,escalated,Jon Bell,ATLAS-1890,PD-2320,anxious,"Customer reported performance complaint around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700340,2019-06-15,BrightCart EU,mid-market,payment retry,high,auth-gateway,open,Harper Lee,ATLAS-4132,,neutral,"Customer reported payment retry around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700341,2019-06-18,Northstar Retail,enterprise,loyalty points missing,low,payment-orchestrator,monitoring,Luca Moretti,ATLAS-2879,,anxious,"Customer reported loyalty points missing around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700342,2019-06-17,Vertex Outlet,internal,performance complaint,low,cart-service,pending engineering,Owen Brooks,ATLAS-2841,PD-2555,negative,"Customer reported performance complaint around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700343,2019-06-19,Atlas Demo Customer,internal,coupon issue,medium,payment-orchestrator,solved,Yara Haddad,ATLAS-5710,,anxious,"Customer reported coupon issue around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700344,2019-06-19,FreshNest Grocery,mid-market,inventory mismatch,low,cart-service,open,Priya Nair,ATLAS-6101,,neutral,"Customer reported inventory mismatch around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700345,2019-06-21,UrbanMarket,internal,order confirmation delay,medium,inventory-reservation,pending engineering,Mateo Garcia,ATLAS-1075,,blocked,"Customer reported order confirmation delay around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700346,2019-06-22,Northstar Retail,mid-market,performance complaint,low,search-recommendations,escalated,Maya Chen,ATLAS-4423,,positive,"Customer reported performance complaint around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700347,2019-06-24,Atlas Demo Customer,internal,loyalty points missing,medium,payment-orchestrator,pending engineering,Samir Rao,ATLAS-4287,,neutral,"Customer reported loyalty points missing around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700348,2019-06-25,Luna Home,mid-market,coupon issue,medium,notification-service,escalated,Kim Tan,ATLAS-3882,,neutral,"Customer reported coupon issue around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700349,2019-06-27,Cedar Pharmacy,enterprise,payment retry,urgent,search-recommendations,pending engineering,Maya Chen,ATLAS-2766,,anxious,"Customer reported payment retry around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700350,2019-06-25,Northstar Retail,self-serve,mobile session timeout,high,inventory-reservation,solved,Sara Novak,ATLAS-1975,,blocked,"Customer reported mobile session timeout around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700351,2019-06-29,BrightCart EU,enterprise,performance complaint,high,analytics-pipeline,escalated,Jon Bell,ATLAS-2480,,negative,"Customer reported performance complaint around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700352,2019-06-28,Cedar Pharmacy,self-serve,loyalty points missing,medium,inventory-reservation,monitoring,Owen Brooks,ATLAS-2915,PD-2384,negative,"Customer reported loyalty points missing around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700353,2019-07-01,UrbanMarket,self-serve,performance complaint,high,payment-orchestrator,escalated,Aisha Khan,ATLAS-5872,PD-2666,neutral,"Customer reported performance complaint around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700354,2019-07-02,Northstar Retail,enterprise,performance complaint,medium,cart-service,solved,Owen Brooks,ATLAS-3511,PD-2815,neutral,"Customer reported performance complaint around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700355,2019-07-04,Vertex Outlet,self-serve,performance complaint,low,cart-service,pending engineering,Jon Bell,ATLAS-2536,PD-2765,positive,"Customer reported performance complaint around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700356,2019-07-05,Northstar Retail,self-serve,checkout failure,medium,pricing-engine,open,Anika Sharma,ATLAS-1489,,anxious,"Customer reported checkout failure around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700357,2019-07-04,Luna Home,mid-market,coupon issue,high,analytics-pipeline,solved,Sara Novak,ATLAS-3460,,negative,"Customer reported coupon issue around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700358,2019-07-05,Luna Home,self-serve,loyalty points missing,medium,order-ledger,solved,Luca Moretti,ATLAS-3552,,neutral,"Customer reported loyalty points missing around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700359,2019-07-07,Summit Sports,internal,checkout failure,medium,cart-service,solved,Elena Petrova,ATLAS-4196,PD-2638,positive,"Customer reported checkout failure around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700360,2019-07-07,Northstar Retail,internal,tax mismatch,low,order-ledger,pending engineering,Iris Wang,ATLAS-1170,,positive,"Customer reported tax mismatch around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700361,2019-07-09,Cedar Pharmacy,mid-market,loyalty points missing,medium,loyalty-service,monitoring,Sara Novak,ATLAS-3758,,anxious,"Customer reported loyalty points missing around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700362,2019-07-11,Atlas Demo Customer,internal,checkout failure,high,pricing-engine,monitoring,Anika Sharma,ATLAS-1896,,anxious,"Customer reported checkout failure around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700363,2019-07-11,FreshNest Grocery,mid-market,inventory mismatch,low,checkout-api,pending engineering,Ben Carter,ATLAS-5483,,blocked,"Customer reported inventory mismatch around checkout-api. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700364,2019-07-12,Summit Sports,internal,coupon issue,low,cart-service,pending engineering,Samir Rao,ATLAS-4600,PD-2876,negative,"Customer reported coupon issue around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700365,2019-07-12,Cedar Pharmacy,self-serve,tax mismatch,medium,loyalty-service,solved,Anika Sharma,ATLAS-4993,,positive,"Customer reported tax mismatch around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700366,2019-07-14,Northstar Retail,internal,inventory mismatch,high,payment-orchestrator,escalated,Noah Evans,ATLAS-2905,,neutral,"Customer reported inventory mismatch around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700367,2019-07-14,Harbor Books,self-serve,coupon issue,medium,loyalty-service,monitoring,Victor Silva,ATLAS-2298,,anxious,"Customer reported coupon issue around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700368,2019-07-18,UrbanMarket,enterprise,order confirmation delay,urgent,search-recommendations,monitoring,Priya Nair,ATLAS-2933,,negative,"Customer reported order confirmation delay around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700369,2019-07-18,Summit Sports,internal,payment retry,medium,tax-service,monitoring,Yara Haddad,ATLAS-2567,,anxious,"Customer reported payment retry around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700370,2019-07-21,Luna Home,self-serve,payment retry,low,checkout-api,pending engineering,Ben Carter,ATLAS-1596,,neutral,"Customer reported payment retry around checkout-api. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700371,2019-07-22,OmniStyle,internal,inventory mismatch,medium,pricing-engine,pending engineering,Jon Bell,ATLAS-1055,,neutral,"Customer reported inventory mismatch around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700372,2019-07-20,BluePeak Apparel,mid-market,performance complaint,low,loyalty-service,escalated,Grace Kim,ATLAS-5084,,neutral,"Customer reported performance complaint around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700373,2019-07-22,Cedar Pharmacy,self-serve,mobile session timeout,medium,payment-orchestrator,escalated,Jon Bell,ATLAS-2293,,negative,"Customer reported mobile session timeout around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700374,2019-07-25,OmniStyle,enterprise,payment retry,medium,checkout-api,monitoring,Luca Moretti,ATLAS-2566,,blocked,"Customer reported payment retry around checkout-api. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700375,2019-07-26,Harbor Books,mid-market,performance complaint,high,search-recommendations,pending engineering,Grace Kim,ATLAS-4003,,negative,"Customer reported performance complaint around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700376,2019-07-27,Harbor Books,enterprise,coupon issue,medium,loyalty-service,solved,Anika Sharma,ATLAS-3503,PD-2230,positive,"Customer reported coupon issue around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700377,2019-07-27,FreshNest Grocery,enterprise,coupon issue,low,analytics-pipeline,open,Maya Chen,ATLAS-4691,,negative,"Customer reported coupon issue around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700378,2019-07-30,UrbanMarket,internal,performance complaint,low,cart-service,monitoring,Harper Lee,ATLAS-2670,PD-2052,anxious,"Customer reported performance complaint around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700379,2019-07-29,Cedar Pharmacy,mid-market,inventory mismatch,low,tax-service,pending engineering,Maya Chen,ATLAS-5798,,positive,"Customer reported inventory mismatch around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700380,2019-08-01,Harbor Books,internal,payment retry,high,payment-orchestrator,pending engineering,Mateo Garcia,ATLAS-4727,,blocked,"Customer reported payment retry around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700381,2019-08-02,Northstar Retail,enterprise,tax mismatch,urgent,inventory-reservation,pending engineering,Elena Petrova,ATLAS-1263,,positive,"Customer reported tax mismatch around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700382,2019-07-31,FreshNest Grocery,enterprise,coupon issue,medium,order-ledger,monitoring,Priya Nair,ATLAS-5524,,anxious,"Customer reported coupon issue around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700383,2019-08-02,BluePeak Apparel,mid-market,mobile session timeout,medium,notification-service,escalated,Grace Kim,ATLAS-5493,PD-2610,negative,"Customer reported mobile session timeout around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700384,2019-08-02,Cedar Pharmacy,mid-market,tax mismatch,low,tax-service,escalated,Nora Singh,ATLAS-5737,,blocked,"Customer reported tax mismatch around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700385,2019-08-04,BrightCart EU,mid-market,mobile session timeout,low,analytics-pipeline,open,Nora Singh,ATLAS-2020,,neutral,"Customer reported mobile session timeout around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700386,2019-08-06,UrbanMarket,internal,order confirmation delay,medium,search-recommendations,open,Yara Haddad,ATLAS-3383,,neutral,"Customer reported order confirmation delay around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700387,2019-08-08,Cedar Pharmacy,mid-market,mobile session timeout,medium,analytics-pipeline,pending engineering,Dmitri Volkov,ATLAS-5854,,positive,"Customer reported mobile session timeout around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700388,2019-08-08,Luna Home,enterprise,payment retry,low,auth-gateway,pending engineering,Elena Petrova,ATLAS-2019,,positive,"Customer reported payment retry around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700389,2019-08-10,Northstar Retail,self-serve,performance complaint,medium,tax-service,solved,Anika Sharma,ATLAS-1488,,anxious,"Customer reported performance complaint around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700390,2019-08-09,Luna Home,internal,order confirmation delay,medium,search-recommendations,solved,Ben Carter,ATLAS-4811,,blocked,"Customer reported order confirmation delay around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700391,2019-08-12,Summit Sports,self-serve,checkout failure,medium,auth-gateway,solved,Sara Novak,ATLAS-3370,,positive,"Customer reported checkout failure around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700392,2019-08-12,Summit Sports,mid-market,payment retry,high,auth-gateway,escalated,Nora Singh,ATLAS-1707,PD-2008,anxious,"Customer reported payment retry around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700393,2019-08-15,Northstar Retail,enterprise,tax mismatch,medium,checkout-api,pending engineering,Dmitri Volkov,ATLAS-1438,,blocked,"Customer reported tax mismatch around checkout-api. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700394,2019-08-14,Luna Home,self-serve,tax mismatch,low,auth-gateway,pending engineering,Kim Tan,ATLAS-5652,PD-2621,blocked,"Customer reported tax mismatch around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700395,2019-08-15,Vertex Outlet,enterprise,mobile session timeout,medium,loyalty-service,open,Fatima Noor,ATLAS-5873,,blocked,"Customer reported mobile session timeout around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700396,2019-08-17,UrbanMarket,enterprise,loyalty points missing,medium,payment-orchestrator,escalated,Luca Moretti,ATLAS-5150,,blocked,"Customer reported loyalty points missing around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700397,2019-08-18,Atlas Demo Customer,enterprise,checkout failure,medium,analytics-pipeline,solved,Luca Moretti,ATLAS-4306,PD-2124,blocked,"Customer reported checkout failure around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700398,2019-08-19,BrightCart EU,mid-market,mobile session timeout,medium,notification-service,monitoring,Anika Sharma,ATLAS-5850,,positive,"Customer reported mobile session timeout around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700399,2019-08-19,Cedar Pharmacy,self-serve,coupon issue,low,notification-service,open,Fatima Noor,ATLAS-4113,,blocked,"Customer reported coupon issue around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700400,2019-08-22,Vertex Outlet,enterprise,tax mismatch,high,inventory-reservation,pending engineering,Grace Kim,ATLAS-5288,,positive,"Customer reported tax mismatch around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700401,2019-08-24,BluePeak Apparel,enterprise,payment retry,medium,payment-orchestrator,open,Kim Tan,ATLAS-4406,PD-2296,negative,"Customer reported payment retry around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700402,2019-08-24,Summit Sports,internal,tax mismatch,high,loyalty-service,solved,Samir Rao,ATLAS-5157,,blocked,"Customer reported tax mismatch around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
