quarter,start_date,target_date,phase,workstream,owner,status,planned_points,completed_points,open_blockers,roadmap_notes,anchor_issue
2020-Q2,2020-05-01,2020-05-28,Phase 2 Cloud Migration,data,Anika Sharma,green,47,14,3,move workloads to Kubernetes and managed databases; focus on data; risk: customer readiness.,ATLAS-3841
2020-Q2,2020-05-01,2020-05-28,Phase 2 Cloud Migration,support,Aisha Khan,red,79,9,7,move workloads to Kubernetes and managed databases; focus on support; risk: schema migration.,ATLAS-3532
2020-Q2,2020-06-01,2020-06-28,Phase 2 Cloud Migration,platform,Priya Nair,green,27,9,2,move workloads to Kubernetes and managed databases; focus on platform; risk: test data gap.,ATLAS-3282
2020-Q2,2020-06-01,2020-06-28,Phase 2 Cloud Migration,checkout,Grace Kim,green,52,15,2,move workloads to Kubernetes and managed databases; focus on checkout; risk: schema migration.,ATLAS-3863
2020-Q2,2020-06-01,2020-06-28,Phase 2 Cloud Migration,payments,Victor Silva,red,18,19,7,move workloads to Kubernetes and managed databases; focus on payments; risk: customer readiness.,ATLAS-3441
2020-Q2,2020-06-01,2020-06-28,Phase 2 Cloud Migration,observability,Fatima Noor,red,74,13,7,move workloads to Kubernetes and managed databases; focus on observability; risk: dependency drift.,ATLAS-4109
2020-Q2,2020-06-01,2020-06-28,Phase 2 Cloud Migration,data,Kim Tan,green,25,20,7,move workloads to Kubernetes and managed databases; focus on data; risk: customer readiness.,ATLAS-3793
2020-Q2,2020-06-01,2020-06-28,Phase 2 Cloud Migration,support,Fatima Noor,red,85,6,5,move workloads to Kubernetes and managed databases; focus on support; risk: test data gap.,ATLAS-1745
2020-Q3,2020-07-01,2020-07-28,Phase 2 Cloud Migration,platform,Samir Rao,red,38,18,3,move workloads to Kubernetes and managed databases; focus on platform; risk: vendor approval.,ATLAS-2677
2020-Q3,2020-07-01,2020-07-28,Phase 2 Cloud Migration,checkout,Owen Brooks,red,29,8,8,move workloads to Kubernetes and managed databases; focus on checkout; risk: on-call load.,ATLAS-4785
2020-Q3,2020-07-01,2020-07-28,Phase 2 Cloud Migration,payments,Samir Rao,green,75,8,6,move workloads to Kubernetes and managed databases; focus on payments; risk: on-call load.,ATLAS-3571
2020-Q3,2020-07-01,2020-07-28,Phase 2 Cloud Migration,observability,Iris Wang,amber,82,9,3,move workloads to Kubernetes and managed databases; focus on observability; risk: schema migration.,ATLAS-1489
2020-Q3,2020-07-01,2020-07-28,Phase 2 Cloud Migration,data,Aisha Khan,green,50,19,8,move workloads to Kubernetes and managed databases; focus on data; risk: test data gap.,ATLAS-5780
2020-Q3,2020-07-01,2020-07-28,Phase 2 Cloud Migration,support,Samir Rao,amber,92,12,6,move workloads to Kubernetes and managed databases; focus on support; risk: customer readiness.,ATLAS-4390
2020-Q3,2020-08-01,2020-08-28,Phase 2 Cloud Migration,platform,Owen Brooks,red,37,3,8,move workloads to Kubernetes and managed databases; focus on platform; risk: schema migration.,ATLAS-1466
2020-Q3,2020-08-01,2020-08-28,Phase 2 Cloud Migration,checkout,Sara Novak,red,52,19,7,move workloads to Kubernetes and managed databases; focus on checkout; risk: vendor approval.,ATLAS-2085
2020-Q3,2020-08-01,2020-08-28,Phase 2 Cloud Migration,payments,Harper Lee,amber,34,7,4,move workloads to Kubernetes and managed databases; focus on payments; risk: schema migration.,ATLAS-5132
2020-Q3,2020-08-01,2020-08-28,Phase 2 Cloud Migration,observability,Aisha Khan,red,69,23,4,move workloads to Kubernetes and managed databases; focus on observability; risk: dependency drift.,ATLAS-3604
2020-Q3,2020-08-01,2020-08-28,Phase 2 Cloud Migration,data,Noah Evans,amber,35,8,8,move workloads to Kubernetes and managed databases; focus on data; risk: schema migration.,ATLAS-4557
2020-Q3,2020-08-01,2020-08-28,Phase 2 Cloud Migration,support,Yara Haddad,red,67,23,2,move workloads to Kubernetes and managed databases; focus on support; risk: dependency drift.,ATLAS-2349
2020-Q3,2020-09-01,2020-09-28,Phase 2 Cloud Migration,platform,Samir Rao,red,66,3,0,move workloads to Kubernetes and managed databases; focus on platform; risk: schema migration.,ATLAS-5176
2020-Q3,2020-09-01,2020-09-28,Phase 2 Cloud Migration,checkout,Mateo Garcia,amber,66,19,0,move workloads to Kubernetes and managed databases; focus on checkout; risk: vendor approval.,ATLAS-4591
2020-Q3,2020-09-01,2020-09-28,Phase 2 Cloud Migration,payments,Owen Brooks,green,22,5,7,move workloads to Kubernetes and managed databases; focus on payments; risk: vendor approval.,ATLAS-4934
2020-Q3,2020-09-01,2020-09-28,Phase 2 Cloud Migration,observability,Owen Brooks,amber,74,21,5,move workloads to Kubernetes and managed databases; focus on observability; risk: capacity risk.,ATLAS-2615
2020-Q3,2020-09-01,2020-09-28,Phase 2 Cloud Migration,data,Aisha Khan,amber,30,14,4,move workloads to Kubernetes and managed databases; focus on data; risk: on-call load.,ATLAS-3069
2020-Q3,2020-09-01,2020-09-28,Phase 2 Cloud Migration,support,Victor Silva,amber,40,3,4,move workloads to Kubernetes and managed databases; focus on support; risk: test data gap.,ATLAS-4459
2020-Q4,2020-10-01,2020-10-28,Phase 2 Cloud Migration,platform,Ravi Patel,green,48,14,7,move workloads to Kubernetes and managed databases; focus on platform; risk: capacity risk.,ATLAS-2449
2020-Q4,2020-10-01,2020-10-28,Phase 2 Cloud Migration,checkout,Luca Moretti,amber,88,5,6,move workloads to Kubernetes and managed databases; focus on checkout; risk: on-call load.,ATLAS-5845
2020-Q4,2020-10-01,2020-10-28,Phase 2 Cloud Migration,payments,Fatima Noor,red,56,19,3,move workloads to Kubernetes and managed databases; focus on payments; risk: on-call load.,ATLAS-5632
2020-Q4,2020-10-01,2020-10-28,Phase 2 Cloud Migration,observability,Maya Chen,green,68,19,3,move workloads to Kubernetes and managed databases; focus on observability; risk: schema migration.,ATLAS-1617
2020-Q4,2020-10-01,2020-10-28,Phase 2 Cloud Migration,data,Aisha Khan,green,53,11,1,move workloads to Kubernetes and managed databases; focus on data; risk: capacity risk.,ATLAS-4110
2020-Q4,2020-10-01,2020-10-28,Phase 2 Cloud Migration,support,Anika Sharma,green,35,17,3,move workloads to Kubernetes and managed databases; focus on support; risk: test data gap.,ATLAS-3744
2020-Q4,2020-11-01,2020-11-28,Phase 2 Cloud Migration,platform,Grace Kim,red,23,4,7,move workloads to Kubernetes and managed databases; focus on platform; risk: test data gap.,ATLAS-1242
2020-Q4,2020-11-01,2020-11-28,Phase 2 Cloud Migration,checkout,Fatima Noor,amber,22,15,3,move workloads to Kubernetes and managed databases; focus on checkout; risk: capacity risk.,ATLAS-5686
2020-Q4,2020-11-01,2020-11-28,Phase 2 Cloud Migration,payments,Sara Novak,green,36,10,8,move workloads to Kubernetes and managed databases; focus on payments; risk: on-call load.,ATLAS-4479
2020-Q4,2020-11-01,2020-11-28,Phase 2 Cloud Migration,observability,Ravi Patel,amber,55,7,8,move workloads to Kubernetes and managed databases; focus on observability; risk: dependency drift.,ATLAS-4109
2020-Q4,2020-11-01,2020-11-28,Phase 2 Cloud Migration,data,Luca Moretti,amber,34,3,5,move workloads to Kubernetes and managed databases; focus on data; risk: dependency drift.,ATLAS-3279
2020-Q4,2020-11-01,2020-11-28,Phase 2 Cloud Migration,support,Harper Lee,red,79,11,6,move workloads to Kubernetes and managed databases; focus on support; risk: customer readiness.,ATLAS-2899
2020-Q4,2020-12-01,2020-12-28,Phase 2 Cloud Migration,platform,Mateo Garcia,amber,66,21,4,move workloads to Kubernetes and managed databases; focus on platform; risk: test data gap.,ATLAS-2899
2020-Q4,2020-12-01,2020-12-28,Phase 2 Cloud Migration,checkout,Noah Evans,green,64,23,1,move workloads to Kubernetes and managed databases; focus on checkout; risk: capacity risk.,ATLAS-3829
2020-Q4,2020-12-01,2020-12-28,Phase 2 Cloud Migration,payments,Jon Bell,green,46,22,1,move workloads to Kubernetes and managed databases; focus on payments; risk: dependency drift.,ATLAS-3070
2020-Q4,2020-12-01,2020-12-28,Phase 2 Cloud Migration,observability,Jon Bell,red,57,7,4,move workloads to Kubernetes and managed databases; focus on observability; risk: on-call load.,ATLAS-3103
2020-Q4,2020-12-01,2020-12-28,Phase 2 Cloud Migration,data,Dmitri Volkov,amber,61,10,6,move workloads to Kubernetes and managed databases; focus on data; risk: on-call load.,ATLAS-3693
2020-Q4,2020-12-01,2020-12-28,Phase 2 Cloud Migration,support,Owen Brooks,red,95,23,3,move workloads to Kubernetes and managed databases; focus on support; risk: capacity risk.,ATLAS-4358
2021-Q1,2021-01-01,2021-01-28,Phase 3 Global Checkout,platform,Harper Lee,red,47,13,3,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: test data gap.",ATLAS-2856
2021-Q1,2021-01-01,2021-01-28,Phase 3 Global Checkout,checkout,Fatima Noor,amber,86,11,8,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: test data gap.",ATLAS-5576
2021-Q1,2021-01-01,2021-01-28,Phase 3 Global Checkout,payments,Priya Nair,amber,33,24,1,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: on-call load.",ATLAS-4970
2021-Q1,2021-01-01,2021-01-28,Phase 3 Global Checkout,observability,Fatima Noor,green,42,3,4,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: vendor approval.",ATLAS-5542
2021-Q1,2021-01-01,2021-01-28,Phase 3 Global Checkout,data,Victor Silva,green,36,13,1,"add localization, tax rules, currency, and fraud checks; focus on data; risk: dependency drift.",ATLAS-3263
2021-Q1,2021-01-01,2021-01-28,Phase 3 Global Checkout,support,Noah Evans,green,44,7,3,"add localization, tax rules, currency, and fraud checks; focus on support; risk: schema migration.",ATLAS-3266
2021-Q1,2021-02-01,2021-02-28,Phase 3 Global Checkout,platform,Fatima Noor,amber,43,17,4,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: customer readiness.",ATLAS-3302
2021-Q1,2021-02-01,2021-02-28,Phase 3 Global Checkout,checkout,Sara Novak,red,77,15,6,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: vendor approval.",ATLAS-1415
2021-Q1,2021-02-01,2021-02-28,Phase 3 Global Checkout,payments,Luca Moretti,green,80,11,5,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: customer readiness.",ATLAS-1967
2021-Q1,2021-02-01,2021-02-28,Phase 3 Global Checkout,observability,Dmitri Volkov,green,36,4,4,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: on-call load.",ATLAS-5927
2021-Q1,2021-02-01,2021-02-28,Phase 3 Global Checkout,data,Theo Martin,amber,18,8,5,"add localization, tax rules, currency, and fraud checks; focus on data; risk: customer readiness.",ATLAS-1092
2021-Q1,2021-02-01,2021-02-28,Phase 3 Global Checkout,support,Fatima Noor,red,76,10,4,"add localization, tax rules, currency, and fraud checks; focus on support; risk: on-call load.",ATLAS-6027
2021-Q1,2021-03-01,2021-03-28,Phase 3 Global Checkout,platform,Iris Wang,amber,69,22,8,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: on-call load.",ATLAS-2061
2021-Q1,2021-03-01,2021-03-28,Phase 3 Global Checkout,checkout,Luca Moretti,amber,50,21,5,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: schema migration.",ATLAS-1891
2021-Q1,2021-03-01,2021-03-28,Phase 3 Global Checkout,payments,Priya Nair,red,94,17,8,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: vendor approval.",ATLAS-2451
2021-Q1,2021-03-01,2021-03-28,Phase 3 Global Checkout,observability,Theo Martin,amber,61,7,0,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: on-call load.",ATLAS-4862
2021-Q1,2021-03-01,2021-03-28,Phase 3 Global Checkout,data,Harper Lee,red,62,9,7,"add localization, tax rules, currency, and fraud checks; focus on data; risk: dependency drift.",ATLAS-3224
2021-Q1,2021-03-01,2021-03-28,Phase 3 Global Checkout,support,Mateo Garcia,red,90,23,6,"add localization, tax rules, currency, and fraud checks; focus on support; risk: test data gap.",ATLAS-6120
2021-Q2,2021-04-01,2021-04-28,Phase 3 Global Checkout,platform,Ben Carter,green,78,17,1,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: capacity risk.",ATLAS-6113
2021-Q2,2021-04-01,2021-04-28,Phase 3 Global Checkout,checkout,Fatima Noor,red,65,15,2,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: dependency drift.",ATLAS-1256
2021-Q2,2021-04-01,2021-04-28,Phase 3 Global Checkout,payments,Yara Haddad,green,31,13,1,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: dependency drift.",ATLAS-6085
2021-Q2,2021-04-01,2021-04-28,Phase 3 Global Checkout,observability,Elena Petrova,green,42,17,5,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: vendor approval.",ATLAS-4092
2021-Q2,2021-04-01,2021-04-28,Phase 3 Global Checkout,data,Sara Novak,green,34,15,8,"add localization, tax rules, currency, and fraud checks; focus on data; risk: dependency drift.",ATLAS-1077
2021-Q2,2021-04-01,2021-04-28,Phase 3 Global Checkout,support,Sara Novak,red,30,18,5,"add localization, tax rules, currency, and fraud checks; focus on support; risk: capacity risk.",ATLAS-1699
2021-Q2,2021-05-01,2021-05-28,Phase 3 Global Checkout,platform,Maya Chen,red,42,24,8,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: customer readiness.",ATLAS-6004
2021-Q2,2021-05-01,2021-05-28,Phase 3 Global Checkout,checkout,Iris Wang,green,57,5,5,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: test data gap.",ATLAS-4505
2021-Q2,2021-05-01,2021-05-28,Phase 3 Global Checkout,payments,Theo Martin,green,40,9,3,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: dependency drift.",ATLAS-3496
2021-Q2,2021-05-01,2021-05-28,Phase 3 Global Checkout,observability,Mateo Garcia,red,59,4,6,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: dependency drift.",ATLAS-2358
2021-Q2,2021-05-01,2021-05-28,Phase 3 Global Checkout,data,Sara Novak,amber,56,4,5,"add localization, tax rules, currency, and fraud checks; focus on data; risk: on-call load.",ATLAS-4114
2021-Q2,2021-05-01,2021-05-28,Phase 3 Global Checkout,support,Aisha Khan,amber,91,17,0,"add localization, tax rules, currency, and fraud checks; focus on support; risk: dependency drift.",ATLAS-2467
2021-Q2,2021-06-01,2021-06-28,Phase 3 Global Checkout,platform,Grace Kim,red,47,23,3,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: schema migration.",ATLAS-4983
2021-Q2,2021-06-01,2021-06-28,Phase 3 Global Checkout,checkout,Ravi Patel,green,34,18,1,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: vendor approval.",ATLAS-4400
2021-Q2,2021-06-01,2021-06-28,Phase 3 Global Checkout,payments,Elena Petrova,green,23,12,0,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: dependency drift.",ATLAS-4555
2021-Q2,2021-06-01,2021-06-28,Phase 3 Global Checkout,observability,Ben Carter,amber,21,10,4,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: vendor approval.",ATLAS-1392
2021-Q2,2021-06-01,2021-06-28,Phase 3 Global Checkout,data,Dmitri Volkov,red,48,10,0,"add localization, tax rules, currency, and fraud checks; focus on data; risk: capacity risk.",ATLAS-5856
2021-Q2,2021-06-01,2021-06-28,Phase 3 Global Checkout,support,Elena Petrova,green,45,4,1,"add localization, tax rules, currency, and fraud checks; focus on support; risk: schema migration.",ATLAS-5581
2021-Q3,2021-07-01,2021-07-28,Phase 3 Global Checkout,platform,Luca Moretti,green,73,5,4,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: customer readiness.",ATLAS-2494
2021-Q3,2021-07-01,2021-07-28,Phase 3 Global Checkout,checkout,Ravi Patel,green,22,5,0,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: schema migration.",ATLAS-2769
2021-Q3,2021-07-01,2021-07-28,Phase 3 Global Checkout,payments,Samir Rao,amber,64,3,6,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: dependency drift.",ATLAS-3056
2021-Q3,2021-07-01,2021-07-28,Phase 3 Global Checkout,observability,Ben Carter,red,81,5,1,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: vendor approval.",ATLAS-5204
2021-Q3,2021-07-01,2021-07-28,Phase 3 Global Checkout,data,Samir Rao,green,38,12,4,"add localization, tax rules, currency, and fraud checks; focus on data; risk: on-call load.",ATLAS-4150
2021-Q3,2021-07-01,2021-07-28,Phase 3 Global Checkout,support,Yara Haddad,amber,95,10,3,"add localization, tax rules, currency, and fraud checks; focus on support; risk: on-call load.",ATLAS-4255
2021-Q3,2021-08-01,2021-08-28,Phase 3 Global Checkout,platform,Luca Moretti,green,52,23,1,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: vendor approval.",ATLAS-4877
2021-Q3,2021-08-01,2021-08-28,Phase 3 Global Checkout,checkout,Sara Novak,red,49,17,0,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: dependency drift.",ATLAS-3959
2021-Q3,2021-08-01,2021-08-28,Phase 3 Global Checkout,payments,Fatima Noor,red,30,13,7,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: capacity risk.",ATLAS-5647
2021-Q3,2021-08-01,2021-08-28,Phase 3 Global Checkout,observability,Samir Rao,red,48,11,0,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: customer readiness.",ATLAS-5590
2021-Q3,2021-08-01,2021-08-28,Phase 3 Global Checkout,data,Jon Bell,green,40,14,2,"add localization, tax rules, currency, and fraud checks; focus on data; risk: customer readiness.",ATLAS-3539
2021-Q3,2021-08-01,2021-08-28,Phase 3 Global Checkout,support,Victor Silva,amber,69,14,5,"add localization, tax rules, currency, and fraud checks; focus on support; risk: schema migration.",ATLAS-3412
2021-Q3,2021-09-01,2021-09-28,Phase 3 Global Checkout,platform,Harper Lee,green,59,14,3,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: dependency drift.",ATLAS-1548
2021-Q3,2021-09-01,2021-09-28,Phase 3 Global Checkout,checkout,Anika Sharma,green,57,5,3,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: customer readiness.",ATLAS-4136
2021-Q3,2021-09-01,2021-09-28,Phase 3 Global Checkout,payments,Fatima Noor,green,76,20,8,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: on-call load.",ATLAS-2112
2021-Q3,2021-09-01,2021-09-28,Phase 3 Global Checkout,observability,Nora Singh,red,61,7,4,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: dependency drift.",ATLAS-5180
2021-Q3,2021-09-01,2021-09-28,Phase 3 Global Checkout,data,Samir Rao,amber,77,16,5,"add localization, tax rules, currency, and fraud checks; focus on data; risk: vendor approval.",ATLAS-4475
2021-Q3,2021-09-01,2021-09-28,Phase 3 Global Checkout,support,Fatima Noor,amber,72,12,6,"add localization, tax rules, currency, and fraud checks; focus on support; risk: customer readiness.",ATLAS-2616
2021-Q4,2021-10-01,2021-10-28,Phase 3 Global Checkout,platform,Yara Haddad,red,95,4,0,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: dependency drift.",ATLAS-3994
2021-Q4,2021-10-01,2021-10-28,Phase 3 Global Checkout,checkout,Anika Sharma,green,75,16,3,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: customer readiness.",ATLAS-2763
2021-Q4,2021-10-01,2021-10-28,Phase 3 Global Checkout,payments,Nora Singh,red,58,6,2,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: on-call load.",ATLAS-4500
2021-Q4,2021-10-01,2021-10-28,Phase 3 Global Checkout,observability,Anika Sharma,red,44,10,0,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: vendor approval.",ATLAS-2655
2021-Q4,2021-10-01,2021-10-28,Phase 3 Global Checkout,data,Sara Novak,red,25,10,3,"add localization, tax rules, currency, and fraud checks; focus on data; risk: test data gap.",ATLAS-4183
2021-Q4,2021-10-01,2021-10-28,Phase 3 Global Checkout,support,Ravi Patel,green,44,12,1,"add localization, tax rules, currency, and fraud checks; focus on support; risk: capacity risk.",ATLAS-3542
2021-Q4,2021-11-01,2021-11-28,Phase 3 Global Checkout,platform,Victor Silva,green,57,11,6,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: vendor approval.",ATLAS-3073
2021-Q4,2021-11-01,2021-11-28,Phase 3 Global Checkout,checkout,Nora Singh,red,23,24,4,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: customer readiness.",ATLAS-3878
2021-Q4,2021-11-01,2021-11-28,Phase 3 Global Checkout,payments,Sara Novak,red,27,20,2,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: test data gap.",ATLAS-4035
2021-Q4,2021-11-01,2021-11-28,Phase 3 Global Checkout,observability,Elena Petrova,amber,63,5,2,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: schema migration.",ATLAS-1404
2021-Q4,2021-11-01,2021-11-28,Phase 3 Global Checkout,data,Mateo Garcia,amber,50,19,6,"add localization, tax rules, currency, and fraud checks; focus on data; risk: customer readiness.",ATLAS-2831
2021-Q4,2021-11-01,2021-11-28,Phase 3 Global Checkout,support,Noah Evans,amber,95,8,6,"add localization, tax rules, currency, and fraud checks; focus on support; risk: schema migration.",ATLAS-4586
2021-Q4,2021-12-01,2021-12-28,Phase 3 Global Checkout,platform,Anika Sharma,red,68,24,5,"add localization, tax rules, currency, and fraud checks; focus on platform; risk: dependency drift.",ATLAS-3595
2021-Q4,2021-12-01,2021-12-28,Phase 3 Global Checkout,checkout,Nora Singh,amber,50,12,2,"add localization, tax rules, currency, and fraud checks; focus on checkout; risk: customer readiness.",ATLAS-5101
2021-Q4,2021-12-01,2021-12-28,Phase 3 Global Checkout,payments,Samir Rao,red,79,14,5,"add localization, tax rules, currency, and fraud checks; focus on payments; risk: test data gap.",ATLAS-3035
2021-Q4,2021-12-01,2021-12-28,Phase 3 Global Checkout,observability,Owen Brooks,green,83,13,1,"add localization, tax rules, currency, and fraud checks; focus on observability; risk: vendor approval.",ATLAS-4965
2021-Q4,2021-12-01,2021-12-28,Phase 3 Global Checkout,data,Mateo Garcia,red,54,3,5,"add localization, tax rules, currency, and fraud checks; focus on data; risk: customer readiness.",ATLAS-4380
2021-Q4,2021-12-01,2021-12-28,Phase 3 Global Checkout,support,Fatima Noor,red,75,10,2,"add localization, tax rules, currency, and fraud checks; focus on support; risk: on-call load.",ATLAS-4852
2022-Q1,2022-01-01,2022-01-28,Phase 4 Loyalty and Personalization,platform,Ravi Patel,amber,32,24,5,"connect loyalty, promotions, and segmentation; focus on platform; risk: on-call load.",ATLAS-2348
2022-Q1,2022-01-01,2022-01-28,Phase 4 Loyalty and Personalization,checkout,Priya Nair,amber,90,12,0,"connect loyalty, promotions, and segmentation; focus on checkout; risk: schema migration.",ATLAS-3747
2022-Q1,2022-01-01,2022-01-28,Phase 4 Loyalty and Personalization,payments,Elena Petrova,green,34,12,6,"connect loyalty, promotions, and segmentation; focus on payments; risk: capacity risk.",ATLAS-2712
2022-Q1,2022-01-01,2022-01-28,Phase 4 Loyalty and Personalization,observability,Victor Silva,red,27,13,0,"connect loyalty, promotions, and segmentation; focus on observability; risk: schema migration.",ATLAS-1722
2022-Q1,2022-01-01,2022-01-28,Phase 4 Loyalty and Personalization,data,Yara Haddad,red,65,14,4,"connect loyalty, promotions, and segmentation; focus on data; risk: customer readiness.",ATLAS-3068
2022-Q1,2022-01-01,2022-01-28,Phase 4 Loyalty and Personalization,support,Grace Kim,red,22,16,1,"connect loyalty, promotions, and segmentation; focus on support; risk: vendor approval.",ATLAS-3577
2022-Q1,2022-02-01,2022-02-28,Phase 4 Loyalty and Personalization,platform,Aisha Khan,red,22,13,1,"connect loyalty, promotions, and segmentation; focus on platform; risk: dependency drift.",ATLAS-4558
2022-Q1,2022-02-01,2022-02-28,Phase 4 Loyalty and Personalization,checkout,Victor Silva,red,42,18,8,"connect loyalty, promotions, and segmentation; focus on checkout; risk: on-call load.",ATLAS-3884
2022-Q1,2022-02-01,2022-02-28,Phase 4 Loyalty and Personalization,payments,Maya Chen,red,49,15,1,"connect loyalty, promotions, and segmentation; focus on payments; risk: on-call load.",ATLAS-1927
2022-Q1,2022-02-01,2022-02-28,Phase 4 Loyalty and Personalization,observability,Yara Haddad,amber,70,3,6,"connect loyalty, promotions, and segmentation; focus on observability; risk: dependency drift.",ATLAS-3150
2022-Q1,2022-02-01,2022-02-28,Phase 4 Loyalty and Personalization,data,Harper Lee,amber,28,24,8,"connect loyalty, promotions, and segmentation; focus on data; risk: capacity risk.",ATLAS-4893
2022-Q1,2022-02-01,2022-02-28,Phase 4 Loyalty and Personalization,support,Ben Carter,green,34,20,5,"connect loyalty, promotions, and segmentation; focus on support; risk: customer readiness.",ATLAS-4840
2022-Q1,2022-03-01,2022-03-28,Phase 4 Loyalty and Personalization,platform,Sara Novak,green,95,22,6,"connect loyalty, promotions, and segmentation; focus on platform; risk: customer readiness.",ATLAS-2789
2022-Q1,2022-03-01,2022-03-28,Phase 4 Loyalty and Personalization,checkout,Iris Wang,green,76,18,4,"connect loyalty, promotions, and segmentation; focus on checkout; risk: customer readiness.",ATLAS-5511
2022-Q1,2022-03-01,2022-03-28,Phase 4 Loyalty and Personalization,payments,Dmitri Volkov,green,85,19,2,"connect loyalty, promotions, and segmentation; focus on payments; risk: customer readiness.",ATLAS-2113
2022-Q1,2022-03-01,2022-03-28,Phase 4 Loyalty and Personalization,observability,Noah Evans,amber,31,10,2,"connect loyalty, promotions, and segmentation; focus on observability; risk: customer readiness.",ATLAS-3926
2022-Q1,2022-03-01,2022-03-28,Phase 4 Loyalty and Personalization,data,Priya Nair,amber,87,3,7,"connect loyalty, promotions, and segmentation; focus on data; risk: dependency drift.",ATLAS-5790
2022-Q1,2022-03-01,2022-03-28,Phase 4 Loyalty and Personalization,support,Fatima Noor,amber,87,5,6,"connect loyalty, promotions, and segmentation; focus on support; risk: customer readiness.",ATLAS-3089
2022-Q2,2022-04-01,2022-04-28,Phase 4 Loyalty and Personalization,platform,Ravi Patel,amber,34,16,6,"connect loyalty, promotions, and segmentation; focus on platform; risk: vendor approval.",ATLAS-3083
2022-Q2,2022-04-01,2022-04-28,Phase 4 Loyalty and Personalization,checkout,Jon Bell,green,77,18,6,"connect loyalty, promotions, and segmentation; focus on checkout; risk: on-call load.",ATLAS-4372
2022-Q2,2022-04-01,2022-04-28,Phase 4 Loyalty and Personalization,payments,Samir Rao,green,57,12,3,"connect loyalty, promotions, and segmentation; focus on payments; risk: customer readiness.",ATLAS-4136
2022-Q2,2022-04-01,2022-04-28,Phase 4 Loyalty and Personalization,observability,Maya Chen,red,30,22,0,"connect loyalty, promotions, and segmentation; focus on observability; risk: on-call load.",ATLAS-5687
2022-Q2,2022-04-01,2022-04-28,Phase 4 Loyalty and Personalization,data,Victor Silva,green,18,22,7,"connect loyalty, promotions, and segmentation; focus on data; risk: vendor approval.",ATLAS-2435
2022-Q2,2022-04-01,2022-04-28,Phase 4 Loyalty and Personalization,support,Theo Martin,green,64,19,0,"connect loyalty, promotions, and segmentation; focus on support; risk: dependency drift.",ATLAS-5564
2022-Q2,2022-05-01,2022-05-28,Phase 4 Loyalty and Personalization,platform,Maya Chen,green,52,10,4,"connect loyalty, promotions, and segmentation; focus on platform; risk: on-call load.",ATLAS-2278
2022-Q2,2022-05-01,2022-05-28,Phase 4 Loyalty and Personalization,checkout,Jon Bell,red,58,13,5,"connect loyalty, promotions, and segmentation; focus on checkout; risk: dependency drift.",ATLAS-5792
2022-Q2,2022-05-01,2022-05-28,Phase 4 Loyalty and Personalization,payments,Jon Bell,green,80,10,3,"connect loyalty, promotions, and segmentation; focus on payments; risk: dependency drift.",ATLAS-1023
